incident_id,created_at,narrative,indicator_value,indicator_type,account_id,status,scenario_label
INC-00048,2026-05-25 20:15:11,Alert on account ACC-001897 (Mid-Market / Middle East): observed new_device_burst and geo_velocity and impossible_travel. Source indicator 214.170.54.150 (ipv4) in associated telemetry. Severity high. Awaiting triage.,214.170.54.150,ipv4,ACC-001897,new,benign
INC-00049,2026-05-16 10:34:04,Alert on account ACC-000094 (Reseller / Eastern Europe): observed suspicious_oauth_grant and impossible_travel. Source indicator update-share.com (domain) in associated telemetry. Severity critical. Awaiting triage.,update-share.com,domain,ACC-000094,new,phishing_wave
INC-00050,2026-05-14 04:54:57,Alert on account ACC-000583 (Mid-Market / North America): observed credential_stuffing and geo_velocity and impossible_travel. Source indicator 152.156.224.209 (ipv4) in associated telemetry. Severity high. Awaiting triage.,152.156.224.209,ipv4,ACC-000583,new,credential_stuffing
INC-00051,2026-05-21 02:05:11,Alert on account ACC-001669 (SMB / Middle East): observed api_token_abuse and bulk_account_creation and suspicious_oauth_grant. Source indicator 236.229.154.195 (ipv4) in associated telemetry. Severity medium. Awaiting triage.,236.229.154.195,ipv4,ACC-001669,new,api_token_abuse
INC-00052,2026-05-13 15:14:45,Alert on account ACC-000164 (Reseller / South Asia): observed malware_callback. Flagged indicator http://123.5.153.145:43536/i (url) in associated telemetry; suspected Mozi activity. Severity low. Awaiting triage.,http://123.5.153.145:43536/i,url,ACC-000164,new,malware_delivery
INC-00053,2026-05-21 02:47:49,Alert on account ACC-000400 (Reseller / North America): observed mfa_fatigue. Source indicator 56.135.96.215 (ipv4) in associated telemetry. Severity medium. Awaiting triage.,56.135.96.215,ipv4,ACC-000400,new,account_takeover
INC-00054,2026-05-18 14:16:13,Alert on account ACC-000302 (Reseller / Unknown): observed malware_callback and mfa_fatigue. Flagged indicator http://www.vame.be/zxcvbnm.png (url) in associated telemetry. Severity high. Awaiting triage.,http://www.vame.be/zxcvbnm.png,url,ACC-000302,new,malware_delivery
INC-00055,2026-05-26 16:29:57,Alert on account ACC-001298 (Reseller / East Asia): observed off_hours_admin and data_staging. Source indicator vault-auth.co (domain) in associated telemetry. Severity medium. Awaiting triage.,vault-auth.co,domain,ACC-001298,new,insider_activity
INC-00056,2026-05-16 03:01:52,Alert on account ACC-001923 (Mid-Market / Middle East): observed malware_callback. Flagged indicator http://116.138.31.91:57206/i (url) in associated telemetry; suspected Mozi activity. Severity medium. Awaiting triage.,http://116.138.31.91:57206/i,url,ACC-001923,new,malware_delivery
INC-00057,2026-05-21 15:26:15,Alert on account ACC-000747 (SMB / North America): observed malware_callback. Flagged indicator http://185.234.100.154/Binary/kwari.mips (url) in associated telemetry; suspected Mirai activity. Severity low. Awaiting triage.,http://185.234.100.154/Binary/kwari.mips,url,ACC-000747,new,malware_delivery
INC-00058,2026-05-25 17:06:46,Alert on account ACC-001240 (Mid-Market / West Africa): observed impossible_travel and mfa_fatigue. Source indicator 98.246.67.132 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,98.246.67.132,ipv4,ACC-001240,new,account_takeover
INC-00059,2026-05-13 19:17:48,Alert on account ACC-000030 (Reseller / Unknown): observed suspicious_oauth_grant. Source indicator dropbox-auth.co (domain) in associated telemetry. Severity low. Awaiting triage.,dropbox-auth.co,domain,ACC-000030,new,phishing_wave
INC-00060,2026-05-13 17:30:36,Alert on account ACC-001613 (Reseller / West Africa): observed credential_stuffing and geo_velocity. Source indicator 58.195.97.107 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,58.195.97.107,ipv4,ACC-001613,new,credential_stuffing
INC-00061,2026-05-29 02:58:55,Alert on account ACC-000177 (Consumer / North America): observed credential_stuffing and geo_velocity. Source indicator 204.240.249.79 (ipv4) in associated telemetry. Severity high. Awaiting triage.,204.240.249.79,ipv4,ACC-000177,new,credential_stuffing
INC-00062,2026-05-16 14:10:38,Alert on account ACC-000390 (Mid-Market / Southeast Asia): observed impossible_travel. Source indicator 230.77.102.252 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,230.77.102.252,ipv4,ACC-000390,new,account_takeover
INC-00063,2026-06-01 22:44:31,Alert on account ACC-001179 (Consumer / Eastern Europe): observed impossible_travel and mfa_fatigue. Source indicator 15.180.111.41 (ipv4) in associated telemetry. Severity medium. Awaiting triage.,15.180.111.41,ipv4,ACC-001179,new,account_takeover
INC-00064,2026-05-14 09:49:47,Alert on account ACC-001847 (Mid-Market / Unknown): observed suspicious_oauth_grant and mass_file_download. Source indicator vault-files.co (domain) in associated telemetry. Severity low. Awaiting triage.,vault-files.co,domain,ACC-001847,new,phishing_wave
INC-00065,2026-05-14 02:08:36,Alert on account ACC-001874 (Reseller / Unknown): observed suspicious_oauth_grant. Source indicator login-portal.com (domain) in associated telemetry. Severity high. Awaiting triage.,login-portal.com,domain,ACC-001874,new,phishing_wave
INC-00066,2026-05-27 11:55:26,Alert on account ACC-001179 (Consumer / Eastern Europe): observed suspicious_oauth_grant. Source indicator update-portal.com (domain) in associated telemetry. Severity critical. Awaiting triage.,update-portal.com,domain,ACC-001179,new,phishing_wave
INC-00067,2026-05-30 16:06:20,Alert on account ACC-000143 (Mid-Market / West Africa): observed api_token_abuse and bulk_account_creation. Source indicator 102.45.107.76 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,102.45.107.76,ipv4,ACC-000143,new,api_token_abuse
INC-00068,2026-05-21 17:33:35,Alert on account ACC-000813 (Education / Southeast Asia): observed api_token_abuse and bulk_account_creation. Source indicator 211.220.86.253 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,211.220.86.253,ipv4,ACC-000813,new,api_token_abuse
INC-00069,2026-05-19 06:40:06,Alert on account ACC-001142 (Reseller / Unknown): observed impossible_travel and mfa_fatigue. Source indicator 20.118.37.184 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,20.118.37.184,ipv4,ACC-001142,new,account_takeover
INC-00070,2026-05-20 13:53:33,Alert on account ACC-000128 (Consumer / Unknown): observed mass_file_download and anomalous_share_external and bulk_account_creation. Source indicator vault-portal.net (domain) in associated telemetry. Severity low. Awaiting triage.,vault-portal.net,domain,ACC-000128,new,data_exfiltration
INC-00071,2026-05-30 23:13:39,Alert on account ACC-000083 (Consumer / West Africa): observed api_token_abuse and bulk_account_creation. Source indicator 189.247.244.247 (ipv4) in associated telemetry. Severity high. Awaiting triage.,189.247.244.247,ipv4,ACC-000083,new,api_token_abuse
INC-00072,2026-05-13 23:56:08,Alert on account ACC-001183 (Enterprise / South Asia): observed bulk_account_creation. Source indicator 254.232.169.115 (ipv4) in associated telemetry. Severity high. Awaiting triage.,254.232.169.115,ipv4,ACC-001183,new,api_token_abuse
INC-00073,2026-05-16 05:51:37,Alert on account ACC-000129 (SMB / West Africa): observed suspicious_oauth_grant. Source indicator dropbox-auth.net (domain) in associated telemetry. Severity medium. Awaiting triage.,dropbox-auth.net,domain,ACC-000129,new,phishing_wave
INC-00074,2026-05-16 16:36:38,Alert on account ACC-001094 (Enterprise / South Asia): observed impossible_travel and mfa_fatigue. Source indicator 86.44.54.248 (ipv4) in associated telemetry. Severity high. Awaiting triage.,86.44.54.248,ipv4,ACC-001094,new,account_takeover
INC-00075,2026-05-22 09:06:33,Alert on account ACC-000103 (Consumer / South Asia): observed malware_callback. Flagged indicator http://slotmy-send.tech:8080/parts/IT-Job-Interview-Preparation-Guide.pdf.lnk (url) in associated telemetry. Severity low. Awaiting triage.,http://slotmy-send.tech:8080/parts/IT-Job-Interview-Preparation-Guide.pdf.lnk,url,ACC-000103,new,malware_delivery
INC-00076,2026-05-29 06:20:29,Alert on account ACC-000028 (Reseller / East Asia): observed off_hours_admin and data_staging. Source indicator secure-sync.com (domain) in associated telemetry. Severity medium. Awaiting triage.,secure-sync.com,domain,ACC-000028,new,insider_activity
INC-00077,2026-05-18 12:27:06,Alert on account ACC-001219 (Enterprise / South Asia): observed malware_callback. Flagged indicator http://150.40.127.154/FBI.x86_64 (url) in associated telemetry; suspected Gafgyt activity. Severity medium. Awaiting triage.,http://150.40.127.154/FBI.x86_64,url,ACC-001219,new,malware_delivery
INC-00078,2026-05-30 02:27:41,Alert on account ACC-001715 (Mid-Market / North America): observed api_token_abuse and bulk_account_creation. Source indicator 203.182.165.206 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,203.182.165.206,ipv4,ACC-001715,new,api_token_abuse
INC-00079,2026-05-14 16:39:33,Alert on account ACC-001323 (SMB / Southeast Asia): observed mass_file_download and anomalous_share_external. Source indicator secure-portal.net (domain) in associated telemetry. Severity low. Awaiting triage.,secure-portal.net,domain,ACC-001323,new,data_exfiltration
INC-00080,2026-05-19 12:59:20,Alert on account ACC-001409 (Consumer / Unknown): observed mass_file_download and anomalous_share_external and off_hours_admin. Source indicator update-share.net (domain) in associated telemetry. Severity low. Awaiting triage.,update-share.net,domain,ACC-001409,new,data_exfiltration
INC-00081,2026-05-21 11:23:31,Alert on account ACC-001063 (Reseller / Southeast Asia): observed malware_callback. Flagged indicator http://115.55.114.3:57615/bin.sh (url) in associated telemetry; suspected Mozi activity. Severity high. Awaiting triage.,http://115.55.114.3:57615/bin.sh,url,ACC-001063,new,malware_delivery
INC-00082,2026-05-27 20:26:36,Alert on account ACC-001637 (Reseller / Unknown): observed suspicious_oauth_grant. Source indicator login-files.net (domain) in associated telemetry. Severity high. Awaiting triage.,login-files.net,domain,ACC-001637,new,phishing_wave
INC-00083,2026-05-29 15:34:54,Alert on account ACC-000718 (Education / Middle East): observed api_token_abuse and bulk_account_creation. Source indicator 63.48.159.37 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,63.48.159.37,ipv4,ACC-000718,new,api_token_abuse
INC-00084,2026-06-01 22:40:51,Alert on account ACC-000564 (SMB / Eastern Europe): observed new_device_burst and geo_velocity. Source indicator 156.54.229.197 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,156.54.229.197,ipv4,ACC-000564,new,benign
INC-00085,2026-05-15 05:46:44,Alert on account ACC-000001 (Education / Unknown): observed geo_velocity. Source indicator 161.73.26.152 (ipv4) in associated telemetry. Severity low. Awaiting triage.,161.73.26.152,ipv4,ACC-000001,new,benign
INC-00086,2026-05-11 12:11:49,Alert on account ACC-000451 (Education / South Asia): observed new_device_burst and geo_velocity. Source indicator 217.139.159.199 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,217.139.159.199,ipv4,ACC-000451,new,benign
INC-00087,2026-06-01 07:03:41,Alert on account ACC-001278 (Education / Unknown): observed impossible_travel and mfa_fatigue. Source indicator 168.17.26.150 (ipv4) in associated telemetry. Severity low. Awaiting triage.,168.17.26.150,ipv4,ACC-001278,new,account_takeover
INC-00088,2026-05-22 08:49:15,Alert on account ACC-001615 (Reseller / East Asia): observed malware_callback. Flagged indicator http://182.126.112.250:48706/bin.sh (url) in associated telemetry; suspected Mozi activity. Severity low. Awaiting triage.,http://182.126.112.250:48706/bin.sh,url,ACC-001615,new,malware_delivery
INC-00089,2026-05-31 22:43:43,Alert on account ACC-000082 (Consumer / East Asia): observed off_hours_admin and data_staging. Source indicator vault-share.co (domain) in associated telemetry. Severity high. Awaiting triage.,vault-share.co,domain,ACC-000082,new,insider_activity
INC-00090,2026-05-14 10:27:20,Alert on account ACC-001615 (Reseller / East Asia): observed off_hours_admin and data_staging and impossible_travel. Source indicator login-sync.co (domain) in associated telemetry. Severity medium. Awaiting triage.,login-sync.co,domain,ACC-001615,new,insider_activity
INC-00091,2026-05-18 01:56:05,Alert on account ACC-001187 (Consumer / North America): observed suspicious_oauth_grant. Source indicator cdn-share.io (domain) in associated telemetry. Severity medium. Awaiting triage.,cdn-share.io,domain,ACC-001187,new,phishing_wave
INC-00092,2026-05-22 08:32:14,Alert on account ACC-000855 (Education / West Africa): observed impossible_travel and mfa_fatigue. Source indicator 252.169.175.210 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,252.169.175.210,ipv4,ACC-000855,new,account_takeover
INC-00093,2026-05-24 18:08:45,Alert on account ACC-001592 (Reseller / Unknown): observed new_device_burst and geo_velocity. Source indicator 52.2.180.212 (ipv4) in associated telemetry. Severity low. Awaiting triage.,52.2.180.212,ipv4,ACC-001592,new,benign
INC-00094,2026-05-15 10:00:46,Alert on account ACC-000018 (Consumer / South Asia): observed credential_stuffing and geo_velocity. Source indicator 214.148.137.28 (ipv4) in associated telemetry. Severity low. Awaiting triage.,214.148.137.28,ipv4,ACC-000018,new,credential_stuffing
INC-00095,2026-05-15 06:49:55,Alert on account ACC-001351 (Enterprise / Eastern Europe): observed impossible_travel and mfa_fatigue. Source indicator 160.242.61.64 (ipv4) in associated telemetry. Severity high. Awaiting triage.,160.242.61.64,ipv4,ACC-001351,new,account_takeover
INC-00096,2026-05-15 12:20:56,Alert on account ACC-000390 (Mid-Market / Southeast Asia): observed impossible_travel and mfa_fatigue. Source indicator 223.121.232.236 (ipv4) in associated telemetry. Severity low. Awaiting triage.,223.121.232.236,ipv4,ACC-000390,new,account_takeover
INC-00097,2026-05-29 23:51:08,Alert on account ACC-000213 (Reseller / East Asia): observed credential_stuffing and geo_velocity. Source indicator 179.228.114.157 (ipv4) in associated telemetry. Severity low. Awaiting triage.,179.228.114.157,ipv4,ACC-000213,new,credential_stuffing
INC-00098,2026-05-28 19:50:03,Alert on account ACC-001784 (SMB / Eastern Europe): observed geo_velocity. Source indicator 36.5.135.225 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,36.5.135.225,ipv4,ACC-001784,new,credential_stuffing
INC-00099,2026-05-18 00:07:31,Alert on account ACC-000681 (Consumer / West Africa): observed impossible_travel and mfa_fatigue. Source indicator 186.16.6.63 (ipv4) in associated telemetry. Severity low. Awaiting triage.,186.16.6.63,ipv4,ACC-000681,new,account_takeover
INC-00100,2026-05-22 09:09:10,Alert on account ACC-000215 (Consumer / North America): observed suspicious_oauth_grant. Source indicator update-sync.io (domain) in associated telemetry. Severity critical. Awaiting triage.,update-sync.io,domain,ACC-000215,new,phishing_wave
INC-00101,2026-05-23 15:36:46,Alert on account ACC-001862 (SMB / West Africa): observed credential_stuffing and geo_velocity. Source indicator 156.24.68.124 (ipv4) in associated telemetry. Severity medium. Awaiting triage.,156.24.68.124,ipv4,ACC-001862,new,credential_stuffing
INC-00102,2026-05-18 09:03:53,Alert on account ACC-000208 (Reseller / Unknown): observed credential_stuffing and geo_velocity. Source indicator 166.124.194.150 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,166.124.194.150,ipv4,ACC-000208,new,credential_stuffing
INC-00103,2026-05-29 05:05:21,Alert on account ACC-000342 (Reseller / Southeast Asia): observed off_hours_admin and data_staging and mfa_fatigue. Source indicator login-portal.co (domain) in associated telemetry. Severity high. Awaiting triage.,login-portal.co,domain,ACC-000342,new,insider_activity
INC-00104,2026-05-29 22:58:15,Alert on account ACC-000186 (Enterprise / Eastern Europe): observed new_device_burst and geo_velocity. Source indicator 83.135.49.78 (ipv4) in associated telemetry. Severity critical. Awaiting triage.,83.135.49.78,ipv4,ACC-000186,new,benign
INC-00105,2026-05-30 23:33:09,Alert on account ACC-001405 (Education / Eastern Europe): observed credential_stuffing and geo_velocity. Source indicator 136.56.7.17 (ipv4) in associated telemetry. Severity high. Awaiting triage.,136.56.7.17,ipv4,ACC-001405,new,credential_stuffing
