investigation_id,title,analyst,related_account_id,status,severity,opened_at,closed_at,summary,detailed_notes,source_methods
INV-00011,API token abuse,r.kowalski,ACC-001518,false_positive,high,2026-03-15 20:22:37,,Reviewed high api token abuse signal cluster; contained; token revoked.,"Pivoted from CrowdStrike Falcon X feed. Observed api_token_abuse and bulk_account_creation and mass_file_download. Pulled the account risk score (band medium). Response: applied API rate limiting, revoked active sessions. Outcome: contained; token revoked. HUMINT note: do not disclose to partner orgs.",Confidential partner feed; collection method passive DNS.
INV-00012,Reported phishing,s.delgado,ACC-001821,open,high,2025-10-20 12:43:16,2025-11-13 21:29:05,Investigated high phishing wave signal cluster; escalated to IR.,Pivoted from Internal Honeypot feed. Observed suspicious_oauth_grant. Pulled the account risk score (band low). Response: forced a credential reset. Outcome: escalated to IR. HUMINT note: do not disclose to partner orgs.,Court-ordered log pull; collection method authenticated API audit.
INV-00013,Insider data staging,j.fletcher,,false_positive,low,2025-10-17 12:33:10,2026-01-15 15:10:09,Investigated low insider activity signal cluster; monitoring continues; legal hold applied.,"Pivoted from CrowdStrike Falcon X feed. Observed off_hours_admin and data_staging. Pulled the account risk score (band medium); assessed blast radius across 2 accounts. Response: queued for manual review, disabled external sharing. Outcome: monitoring continues; legal hold applied. HUMINT note: source A reliability B2.",Confidential partner feed; collection method passive DNS.
INV-00014,Phishing wave,s.delgado,ACC-001211,in_review,critical,2025-09-15 10:24:19,2025-10-20 19:08:53,Reviewed critical phishing wave signal cluster; contained; malicious grant revoked.,"Pivoted from VirusTotal feed. Observed suspicious_oauth_grant. Pulled the account risk score (band critical). Response: revoked active sessions, enforced MFA re-enrollment, queued for manual review. Outcome: contained; malicious grant revoked. HUMINT note: sub-judice — legal hold.",Internal EDR; collection method authenticated API audit.
INV-00015,Confirmed data exfiltration,a.okafor,ACC-000581,escalated,low,2025-10-14 06:09:17,,Investigated low data exfiltration signal cluster; closed as benign.,Pivoted from Internal Honeypot feed. Observed anomalous_share_external. Pulled the account risk score (band critical); assessed blast radius across 3 accounts. Response: took no action (cleared). Outcome: closed as benign. HUMINT note: do not disclose to partner orgs.,Internal EDR; collection method authenticated API audit.
INV-00016,Malware C2 callback,r.kowalski,ACC-001711,false_positive,medium,2025-07-25 12:33:10,2025-09-03 18:01:03,Investigated medium malware delivery signal cluster; contained; host isolated.,Pivoted from OSINT Crawler feed. Observed malware_callback. Enriched 31 indicators against the URLhaus feed; pivoted to the associated campaign and sibling indicators; assessed blast radius across 5 accounts. Response: suspended the account. Outcome: contained; host isolated. HUMINT note: source A reliability B2.,Honeypot telemetry; collection method passive DNS.
INV-00017,Credential abuse,p.novak,,escalated,high,2025-07-06 14:25:34,,Investigated high credential stuffing signal cluster; contained.,"Pivoted from Internal Honeypot feed. Observed credential_stuffing and geo_velocity. Pulled the account risk score (band high). Response: applied API rate limiting, forced a credential reset. Outcome: contained. HUMINT note: sub-judice — legal hold.",Court-ordered log pull; collection method endpoint memory capture.
INV-00018,Anomalous login reviewed,s.delgado,ACC-000257,closed,low,2025-10-15 21:45:18,2026-01-03 03:22:02,Triaged low benign signal cluster; closed as benign; false positive.,Pivoted from Confidential HUMINT feed. Observed new_device_burst and geo_velocity and impossible_travel. Pulled the account risk score (band high). Response: took no action (cleared). Outcome: closed as benign; false positive. HUMINT note: do not disclose to partner orgs.,Honeypot telemetry; collection method authenticated API audit.
INV-00019,Credential stuffing wave,m.chen,ACC-001628,in_review,low,2025-07-12 16:56:10,,Investigated low credential stuffing signal cluster; contained.,"Pivoted from ISAC Share feed. Observed geo_velocity. Pulled the account risk score (band medium). Response: applied API rate limiting, forced a credential reset. Outcome: contained. HUMINT note: source A reliability B2.",Court-ordered log pull; collection method authenticated API audit.
INV-00020,Suspicious account takeover,c.ramirez,ACC-001613,closed,critical,2025-12-07 14:46:42,,Investigated critical account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from Abuse.ch feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band high); assessed blast radius across 3 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: sub-judice — legal hold.",Honeypot telemetry; collection method undercover channel.
INV-00021,Potential data exfiltration,p.novak,,in_review,medium,2025-11-06 21:52:02,,Triaged medium data exfiltration signal cluster; escalated to IR.,"Pivoted from Internal Honeypot feed. Observed mass_file_download and anomalous_share_external. Pulled the account risk score (band high); assessed blast radius across 4 accounts. Response: disabled external sharing, suspended the account, queued for manual review. Outcome: escalated to IR. HUMINT note: sub-judice — legal hold.",Internal EDR; collection method endpoint memory capture.
INV-00022,Potential malware delivery,t.ibrahim,,open,low,2025-11-08 04:51:17,2025-11-28 05:19:04,Investigated low malware delivery signal cluster; contained; host isolated.,Pivoted from OSINT Crawler feed. Observed malware_callback. Enriched 9 indicators against the URLhaus feed; pivoted to the associated campaign and sibling indicators; assessed blast radius across 4 accounts. Response: suspended the account. Outcome: contained; host isolated. HUMINT note: sub-judice — legal hold.,Court-ordered log pull; collection method authenticated API audit.
INV-00023,Low-severity signal review,p.novak,ACC-000453,open,critical,2025-08-07 15:19:17,2025-09-18 04:07:44,Triaged critical benign signal cluster; closed as benign; false positive.,Pivoted from Mandiant feed. Observed new_device_burst and geo_velocity. Pulled the account risk score (band medium). Response: took no action (cleared). Outcome: closed as benign; false positive. HUMINT note: source A reliability B2.,Confidential partner feed; collection method authenticated API audit.
INV-00024,Confirmed data exfiltration,m.chen,ACC-001620,open,high,2026-02-07 22:45:28,2026-05-02 08:49:59,Triaged high data exfiltration signal cluster; escalated to IR.,"Pivoted from ISAC Share feed. Observed anomalous_share_external. Pulled the account risk score (band high); assessed blast radius across 4 accounts. Response: disabled external sharing, suspended the account, queued for manual review. Outcome: escalated to IR. HUMINT note: do not disclose to partner orgs.",Court-ordered log pull; collection method authenticated API audit.
INV-00025,Credential stuffing wave,a.okafor,,closed,high,2026-01-14 10:42:31,2026-03-27 17:12:48,Reviewed high credential stuffing signal cluster; contained.,"Pivoted from CrowdStrike Falcon X feed. Observed credential_stuffing and geo_velocity. Pulled the account risk score (band critical). Response: applied API rate limiting, forced a credential reset. Outcome: contained. HUMINT note: source A reliability B2.",Confidential partner feed; collection method endpoint memory capture.
INV-00026,Anomalous internal access,r.kowalski,ACC-000823,false_positive,medium,2026-02-01 02:04:25,,Reviewed medium insider activity signal cluster; monitoring continues; legal hold applied.,"Pivoted from Abuse.ch feed. Observed off_hours_admin and data_staging and impossible_travel. Pulled the account risk score (band low); assessed blast radius across 4 accounts. Response: queued for manual review, disabled external sharing. Outcome: monitoring continues; legal hold applied. HUMINT note: sub-judice — legal hold.",Honeypot telemetry; collection method undercover channel.
INV-00027,Suspicious insider activity,t.ibrahim,,false_positive,critical,2026-03-07 09:57:32,2026-04-05 23:14:23,Reviewed critical insider activity signal cluster; monitoring continues; legal hold applied.,"Pivoted from CrowdStrike Falcon X feed. Observed off_hours_admin and data_staging. Pulled the account risk score (band critical); assessed blast radius across 2 accounts. Response: queued for manual review, disabled external sharing. Outcome: monitoring continues; legal hold applied. HUMINT note: sub-judice — legal hold.",Confidential partner feed; collection method undercover channel.
INV-00028,Anomalous bulk export,t.ibrahim,,in_review,medium,2025-08-19 21:38:44,,Reviewed medium data exfiltration signal cluster; escalated to IR.,"Pivoted from Recorded Future feed. Observed mass_file_download and anomalous_share_external. Pulled the account risk score (band medium); assessed blast radius across 5 accounts. Response: disabled external sharing, suspended the account, queued for manual review. Outcome: escalated to IR. HUMINT note: source A reliability B2.",Court-ordered log pull; collection method authenticated API audit.
INV-00029,Automated abuse via API,m.chen,ACC-001037,closed,low,2026-01-27 15:24:43,,Investigated low api token abuse signal cluster; contained; token revoked.,"Pivoted from ISAC Share feed. Observed api_token_abuse and bulk_account_creation. Pulled the account risk score (band critical). Response: applied API rate limiting, revoked active sessions. Outcome: contained; token revoked. HUMINT note: source A reliability B2.",Court-ordered log pull; collection method passive DNS.
INV-00030,OAuth consent phishing,j.fletcher,,false_positive,low,2026-01-21 13:21:00,2026-03-04 02:38:19,Triaged low phishing wave signal cluster; escalated to IR.,Pivoted from VirusTotal feed. Observed suspicious_oauth_grant. Pulled the account risk score (band low). Response: applied API rate limiting. Outcome: escalated to IR. HUMINT note: sub-judice — legal hold.,Internal EDR; collection method passive DNS.
INV-00031,Malware C2 callback,c.ramirez,ACC-001746,in_review,medium,2025-12-05 11:48:18,,Triaged medium malware delivery signal cluster; contained; host isolated.,Pivoted from OSINT Crawler feed. Observed malware_callback. Enriched 33 indicators against the URLhaus feed; pivoted to the associated campaign and sibling indicators; assessed blast radius across 1 accounts. Response: suspended the account. Outcome: contained; host isolated. HUMINT note: sub-judice — legal hold.,Honeypot telemetry; collection method passive DNS.
INV-00032,Potential data exfiltration,r.kowalski,ACC-000012,false_positive,high,2026-04-25 23:50:35,2026-06-01 15:34:29,Reviewed high data exfiltration signal cluster; reclassified after review.,Pivoted from Recorded Future feed. Observed mass_file_download. Pulled the account risk score (band high); assessed blast radius across 4 accounts. Response: queued for manual review. Outcome: reclassified after review. HUMINT note: do not disclose to partner orgs.,Honeypot telemetry; collection method undercover channel.
INV-00033,Automated alert triage,r.kowalski,ACC-000177,escalated,medium,2025-12-18 08:19:16,2026-03-14 11:36:11,Investigated medium benign signal cluster; escalated to IR.,Pivoted from Abuse.ch feed. Observed new_device_burst. Pulled the account risk score (band medium). Response: forced a credential reset. Outcome: escalated to IR. HUMINT note: sub-judice — legal hold.,Confidential partner feed; collection method passive DNS.
INV-00034,Low-severity signal review,m.chen,ACC-001995,closed,high,2026-02-05 09:59:09,,Triaged high benign signal cluster; closed as benign; false positive.,Pivoted from ISAC Share feed. Observed new_device_burst and geo_velocity. Pulled the account risk score (band medium). Response: took no action (cleared). Outcome: closed as benign; false positive. HUMINT note: sub-judice — legal hold.,Internal EDR; collection method endpoint memory capture.
INV-00035,Confirmed data exfiltration,m.chen,,closed,low,2026-01-18 03:07:39,,Reviewed low data exfiltration signal cluster; escalated to IR.,"Pivoted from Confidential HUMINT feed. Observed mass_file_download and anomalous_share_external. Pulled the account risk score (band low); assessed blast radius across 5 accounts. Response: disabled external sharing, suspended the account, queued for manual review. Outcome: escalated to IR. HUMINT note: do not disclose to partner orgs.",Confidential partner feed; collection method endpoint memory capture.
INV-00036,Reported account takeover,a.okafor,,open,low,2025-12-30 20:29:06,,Triaged low account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from VirusTotal feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band high); assessed blast radius across 2 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: source A reliability B2.",Honeypot telemetry; collection method undercover channel.
INV-00037,Credential stuffing wave,t.ibrahim,ACC-001349,closed,low,2025-11-22 21:45:20,,Reviewed low credential stuffing signal cluster; contained.,"Pivoted from Mandiant feed. Observed credential_stuffing and geo_velocity. Pulled the account risk score (band medium). Response: applied API rate limiting, forced a credential reset. Outcome: contained. HUMINT note: source A reliability B2.",Confidential partner feed; collection method undercover channel.
INV-00038,API token abuse,s.delgado,ACC-001666,open,medium,2026-01-14 16:02:43,,Reviewed medium api token abuse signal cluster; contained; token revoked.,"Pivoted from Recorded Future feed. Observed api_token_abuse and bulk_account_creation. Pulled the account risk score (band high). Response: applied API rate limiting, revoked active sessions. Outcome: contained; token revoked. HUMINT note: source A reliability B2.",Honeypot telemetry; collection method passive DNS.
INV-00039,Reported account takeover,r.kowalski,ACC-001331,closed,medium,2025-12-16 17:13:41,2025-12-20 21:34:04,Triaged medium account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from Recorded Future feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band low); assessed blast radius across 6 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: do not disclose to partner orgs.",Confidential partner feed; collection method authenticated API audit.
INV-00040,Potential data exfiltration,s.delgado,,in_review,high,2025-06-11 00:56:39,2025-07-28 04:00:14,Triaged high data exfiltration signal cluster; escalated to IR.,"Pivoted from Confidential HUMINT feed. Observed mass_file_download and anomalous_share_external. Pulled the account risk score (band medium); assessed blast radius across 3 accounts. Response: disabled external sharing, suspended the account, queued for manual review. Outcome: escalated to IR. HUMINT note: source A reliability B2.",Confidential partner feed; collection method undercover channel.
INV-00041,Suspicious insider activity,p.novak,ACC-000947,escalated,high,2025-06-28 23:16:39,2025-08-19 10:50:53,Triaged high insider activity signal cluster; monitoring continues; legal hold applied.,"Pivoted from Internal Honeypot feed. Observed off_hours_admin and data_staging and new_device_burst. Pulled the account risk score (band high); assessed blast radius across 5 accounts. Response: queued for manual review, disabled external sharing. Outcome: monitoring continues; legal hold applied. HUMINT note: do not disclose to partner orgs.",Honeypot telemetry; collection method undercover channel.
INV-00042,Anomalous internal access,j.fletcher,ACC-000929,closed,low,2025-12-04 17:12:09,,Triaged low insider activity signal cluster; monitoring continues; legal hold applied.,"Pivoted from Mandiant feed. Observed off_hours_admin. Pulled the account risk score (band high); assessed blast radius across 4 accounts. Response: queued for manual review, disabled external sharing. Outcome: monitoring continues; legal hold applied. HUMINT note: do not disclose to partner orgs.",Court-ordered log pull; collection method passive DNS.
INV-00043,OAuth consent phishing,p.novak,ACC-001874,open,medium,2026-03-03 18:07:19,2026-05-16 12:58:15,Reviewed medium phishing wave signal cluster; contained; malicious grant revoked.,"Pivoted from VirusTotal feed. Observed suspicious_oauth_grant. Pulled the account risk score (band medium). Response: revoked active sessions, enforced MFA re-enrollment, queued for manual review. Outcome: contained; malicious grant revoked. HUMINT note: sub-judice — legal hold.",Honeypot telemetry; collection method passive DNS.
INV-00044,Confirmed account takeover,j.fletcher,ACC-000545,escalated,low,2026-04-26 23:12:46,,Investigated low account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from VirusTotal feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band high); assessed blast radius across 2 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: sub-judice — legal hold.",Honeypot telemetry; collection method passive DNS.
INV-00045,Reported account takeover,j.fletcher,,open,low,2025-07-08 22:24:08,2025-10-02 04:59:08,Investigated low account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from OSINT Crawler feed. Observed impossible_travel and mfa_fatigue and malware_callback. Pulled the account risk score (band medium); assessed blast radius across 1 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: do not disclose to partner orgs.",Confidential partner feed; collection method authenticated API audit.
INV-00046,Anomalous login reviewed,j.fletcher,,open,high,2026-01-28 07:20:25,,Investigated high benign signal cluster; escalated to IR.,Pivoted from Recorded Future feed. Observed new_device_burst and geo_velocity. Pulled the account risk score (band medium). Response: applied API rate limiting. Outcome: escalated to IR. HUMINT note: source A reliability B2.,Honeypot telemetry; collection method undercover channel.
INV-00047,Automated abuse via API,r.kowalski,ACC-000576,in_review,critical,2025-06-02 22:41:26,,Investigated critical api token abuse signal cluster; contained; token revoked.,"Pivoted from Recorded Future feed. Observed api_token_abuse and bulk_account_creation. Pulled the account risk score (band critical). Response: applied API rate limiting, revoked active sessions. Outcome: contained; token revoked. HUMINT note: do not disclose to partner orgs.",Confidential partner feed; collection method endpoint memory capture.
INV-00048,Confirmed malware delivery,m.chen,,in_review,medium,2026-01-26 23:49:53,2026-03-08 21:27:02,Investigated medium malware delivery signal cluster; contained; host isolated.,Pivoted from Mandiant feed. Observed malware_callback. Enriched 27 indicators against the URLhaus feed; pivoted to the associated campaign and sibling indicators; assessed blast radius across 4 accounts. Response: suspended the account. Outcome: contained; host isolated. HUMINT note: do not disclose to partner orgs.,Confidential partner feed; collection method passive DNS.
INV-00049,Malware C2 callback,s.delgado,ACC-001857,escalated,medium,2025-10-25 16:11:00,,Triaged medium malware delivery signal cluster; contained; host isolated.,Pivoted from ISAC Share feed. Observed malware_callback. Enriched 19 indicators against the URLhaus feed; pivoted to the associated campaign and sibling indicators; assessed blast radius across 4 accounts. Response: suspended the account. Outcome: contained; host isolated. HUMINT note: source A reliability B2.,Honeypot telemetry; collection method authenticated API audit.
INV-00050,Credential abuse,j.fletcher,,false_positive,critical,2026-02-28 18:46:04,2026-03-07 14:38:08,Triaged critical credential stuffing signal cluster; contained.,"Pivoted from Mandiant feed. Observed credential_stuffing and geo_velocity. Pulled the account risk score (band low). Response: applied API rate limiting, forced a credential reset. Outcome: contained. HUMINT note: do not disclose to partner orgs.",Court-ordered log pull; collection method authenticated API audit.
INV-00051,Suspicious insider activity,c.ramirez,ACC-000272,false_positive,low,2026-04-29 01:04:14,,Triaged low insider activity signal cluster; monitoring continues; legal hold applied.,"Pivoted from OSINT Crawler feed. Observed off_hours_admin and data_staging. Pulled the account risk score (band critical); assessed blast radius across 1 accounts. Response: queued for manual review, disabled external sharing. Outcome: monitoring continues; legal hold applied. HUMINT note: source A reliability B2.",Confidential partner feed; collection method undercover channel.
INV-00052,Insider data staging,c.ramirez,ACC-001667,closed,critical,2025-08-23 02:30:56,,Investigated critical insider activity signal cluster; monitoring continues; legal hold applied.,"Pivoted from Internal Honeypot feed. Observed data_staging. Pulled the account risk score (band medium); assessed blast radius across 5 accounts. Response: queued for manual review, disabled external sharing. Outcome: monitoring continues; legal hold applied. HUMINT note: sub-judice — legal hold.",Confidential partner feed; collection method undercover channel.
INV-00053,Brute-force login burst,j.fletcher,ACC-001665,false_positive,low,2026-01-11 01:12:39,2026-03-14 05:52:30,Investigated low credential stuffing signal cluster; contained.,"Pivoted from Recorded Future feed. Observed credential_stuffing and geo_velocity. Pulled the account risk score (band medium). Response: applied API rate limiting, forced a credential reset. Outcome: contained. HUMINT note: sub-judice — legal hold.",Court-ordered log pull; collection method undercover channel.
INV-00054,Confirmed account takeover,j.fletcher,ACC-000813,escalated,critical,2025-09-04 05:19:10,,Triaged critical account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from Internal Honeypot feed. Observed impossible_travel. Pulled the account risk score (band high); assessed blast radius across 6 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: do not disclose to partner orgs.",Internal EDR; collection method authenticated API audit.
INV-00055,Automated alert triage,s.delgado,ACC-001726,open,high,2025-08-30 03:02:58,,Triaged high benign signal cluster; closed as benign; false positive.,Pivoted from Mandiant feed. Observed new_device_burst and geo_velocity. Pulled the account risk score (band high). Response: took no action (cleared). Outcome: closed as benign; false positive. HUMINT note: source A reliability B2.,Court-ordered log pull; collection method passive DNS.
INV-00056,Suspicious account takeover,r.kowalski,ACC-000311,false_positive,critical,2025-06-18 00:47:05,2025-06-25 12:31:30,Reviewed critical account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from OSINT Crawler feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band critical); assessed blast radius across 1 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: do not disclose to partner orgs.",Confidential partner feed; collection method undercover channel.
INV-00057,Suspicious account takeover,s.delgado,ACC-000522,escalated,medium,2026-03-03 15:44:21,2026-04-06 13:18:10,Investigated medium account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from Confidential HUMINT feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band medium); assessed blast radius across 6 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: sub-judice — legal hold.",Honeypot telemetry; collection method passive DNS.
INV-00058,Low-severity signal review,p.novak,ACC-000058,closed,critical,2026-04-24 06:09:13,2026-06-01 07:15:57,Reviewed critical benign signal cluster; closed as benign; false positive.,Pivoted from OSINT Crawler feed. Observed new_device_burst and geo_velocity. Pulled the account risk score (band medium). Response: took no action (cleared). Outcome: closed as benign; false positive. HUMINT note: sub-judice — legal hold.,Confidential partner feed; collection method undercover channel.
INV-00059,Reported account takeover,p.novak,ACC-000648,escalated,high,2025-12-14 17:07:20,2026-02-11 15:59:50,Reviewed high account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from Mandiant feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band low); assessed blast radius across 1 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: source A reliability B2.",Honeypot telemetry; collection method undercover channel.
INV-00060,Anomalous internal access,p.novak,,false_positive,low,2026-04-05 18:56:21,2026-06-01 18:47:36,Reviewed low insider activity signal cluster; escalated to IR.,Pivoted from Recorded Future feed. Observed off_hours_admin and data_staging. Pulled the account risk score (band low); assessed blast radius across 3 accounts. Response: queued for manual review. Outcome: escalated to IR. HUMINT note: do not disclose to partner orgs.,Court-ordered log pull; collection method passive DNS.
INV-00061,Reported phishing,c.ramirez,ACC-000557,closed,medium,2025-12-01 19:23:55,2026-02-21 12:07:54,Reviewed medium phishing wave signal cluster; contained; malicious grant revoked.,"Pivoted from Confidential HUMINT feed. Observed suspicious_oauth_grant. Pulled the account risk score (band high). Response: revoked active sessions, enforced MFA re-enrollment, queued for manual review. Outcome: contained; malicious grant revoked. HUMINT note: do not disclose to partner orgs.",Internal EDR; collection method undercover channel.
INV-00062,Phishing wave,c.ramirez,ACC-001530,closed,critical,2026-03-31 12:58:43,,Triaged critical phishing wave signal cluster; contained; malicious grant revoked.,"Pivoted from Confidential HUMINT feed. Observed suspicious_oauth_grant. Pulled the account risk score (band medium). Response: revoked active sessions, enforced MFA re-enrollment, queued for manual review. Outcome: contained; malicious grant revoked. HUMINT note: source A reliability B2.",Confidential partner feed; collection method authenticated API audit.
INV-00063,Reported account takeover,t.ibrahim,ACC-000185,escalated,critical,2026-03-20 14:19:26,,Triaged critical account takeover signal cluster; contained; no customer impact confirmed.,"Pivoted from Internal Honeypot feed. Observed impossible_travel and mfa_fatigue. Pulled the account risk score (band low); assessed blast radius across 3 accounts. Response: forced a credential reset, revoked active sessions, enforced MFA re-enrollment. Outcome: contained; no customer impact confirmed. HUMINT note: do not disclose to partner orgs.",Court-ordered log pull; collection method authenticated API audit.
INV-00064,Anomalous login reviewed,j.fletcher,ACC-001150,escalated,critical,2025-08-30 00:17:22,2025-09-07 15:31:20,Investigated critical benign signal cluster; escalated to IR.,Pivoted from Confidential HUMINT feed. Observed new_device_burst and geo_velocity. Pulled the account risk score (band high). Response: forced a credential reset. Outcome: escalated to IR. HUMINT note: sub-judice — legal hold.,Court-ordered log pull; collection method undercover channel.
INV-00065,Potential data exfiltration,a.okafor,ACC-001555,escalated,critical,2025-11-15 15:18:35,2026-01-03 05:54:46,Triaged critical data exfiltration signal cluster; closed as benign.,Pivoted from VirusTotal feed. Observed mass_file_download and anomalous_share_external. Pulled the account risk score (band high); assessed blast radius across 1 accounts. Response: queued for manual review. Outcome: closed as benign. HUMINT note: sub-judice — legal hold.,Internal EDR; collection method passive DNS.
INV-00066,Suspicious insider activity,c.ramirez,,in_review,high,2025-10-09 17:34:46,2025-11-11 03:30:51,Reviewed high insider activity signal cluster; escalated to IR.,Pivoted from CrowdStrike Falcon X feed. Observed off_hours_admin and data_staging. Pulled the account risk score (band low); assessed blast radius across 2 accounts. Response: suspended the account. Outcome: escalated to IR. HUMINT note: do not disclose to partner orgs.,Confidential partner feed; collection method undercover channel.
