indicator_id,indicator_type,indicator_value,campaign_id,confidence,tlp,source,source_sensitivity,first_seen,last_seen,is_active
IOC-000048,ipv4,192.251.3.173,CMP-0120,71,TLP:GREEN,OSINT Crawler,partner,2025-01-31,2025-02-23,True
IOC-000049,ipv4,104.118.227.211,CMP-0112,49,TLP:AMBER,VirusTotal,confidential,2026-02-04,2026-03-05,False
IOC-000050,domain,login-portal.co,CMP-0120,64,TLP:AMBER,CrowdStrike Falcon X,public,2024-07-16,2024-08-27,False
IOC-000051,sha256,3f7de9043c108adbbccb77c082c2fc9cbb0463d581931a96288fc166d145236a,CMP-0035,61,TLP:CLEAR,Confidential HUMINT,public,2025-03-05,2025-03-16,True
IOC-000052,email,hr@dropbox-team.com,CMP-0034,84,TLP:AMBER,Recorded Future,public,2025-10-10,2025-12-07,True
IOC-000053,domain,login-auth.com,CMP-0025,88,TLP:RED,OSINT Crawler,confidential,2025-05-20,2025-07-15,True
IOC-000054,email,it-support@secure-mail.com,CMP-0022,70,TLP:AMBER,VirusTotal,partner,2024-09-30,2024-11-11,True
IOC-000055,sha256,0bff5140b91d6bfcbf039e5af1fcbcd907e31ded1ff327f5e819d6ae63e0c99a,CMP-0076,93,TLP:AMBER,Confidential HUMINT,confidential,2025-08-16,2025-08-22,False
IOC-000056,domain,vault-files.net,CMP-0013,49,TLP:GREEN,ISAC Share,partner,2025-10-17,2025-11-14,True
IOC-000057,md5,c809fe3671b573323faaa4a5989ab8d5,CMP-0023,79,TLP:RED,Confidential HUMINT,confidential,2025-06-05,2025-06-07,True
IOC-000058,domain,update-share.co,CMP-0100,68,TLP:GREEN,Confidential HUMINT,restricted,2026-01-03,2026-02-02,True
IOC-000059,email,admin@acct-verify.com,CMP-0094,51,TLP:GREEN,Mandiant,confidential,2025-01-15,2025-02-09,True
IOC-000060,url,https://static.evilcdn.com/2e149117,CMP-0025,91,TLP:AMBER,VirusTotal,public,2024-10-02,2024-11-01,False
IOC-000061,sha256,b52eb8d679fcd7c9616c851aeb6117589e0dc0991d2f36269d80c5359e6168e3,CMP-0080,77,TLP:CLEAR,Abuse.ch,restricted,2025-04-21,2025-06-07,True
IOC-000062,filename,invoice_2026.docm,CMP-0024,68,TLP:RED,VirusTotal,partner,2025-06-26,2025-07-16,True
IOC-000063,ipv4,199.76.66.192,CMP-0064,79,TLP:GREEN,Abuse.ch,restricted,2024-11-02,2024-12-28,True
IOC-000064,ipv4,87.236.166.49,CMP-0048,60,TLP:GREEN,Abuse.ch,public,2025-01-31,2025-03-10,True
IOC-000065,md5,5a7774b32531f2482d20fefe3f7efa72,CMP-0058,84,TLP:GREEN,Confidential HUMINT,confidential,2025-10-12,2025-11-14,True
IOC-000066,sha256,12b1415bac4afa1a22d0adaa481a45054c9c872d5d01401859516775bf01c9c5,CMP-0075,93,TLP:RED,Confidential HUMINT,partner,2024-10-03,2024-11-10,True
IOC-000067,sha256,23d1d91f615ce28a80284b17939f36e880f9914399208c8469fa28bc9e5c7ce4,CMP-0097,79,TLP:AMBER,OSINT Crawler,public,2025-09-17,2025-11-10,True
IOC-000068,email,admin@acct-verify.com,CMP-0084,55,TLP:CLEAR,Confidential HUMINT,partner,2025-07-13,2025-08-07,True
IOC-000069,email,it-support@dropbox-team.com,CMP-0063,48,TLP:AMBER,Abuse.ch,public,2024-08-21,2024-09-11,True
IOC-000070,domain,secure-sync.com,CMP-0017,96,TLP:GREEN,Mandiant,partner,2025-02-05,2025-03-10,True
IOC-000071,ipv4,104.197.125.175,CMP-0020,57,TLP:RED,ISAC Share,confidential,2024-11-24,2024-12-10,False
IOC-000072,sha256,9a2666c63da16439b9a07b58ccae3574bcf057db9520ab4c099e39622fe4dc7e,CMP-0095,47,TLP:AMBER,Recorded Future,partner,2024-12-21,2024-12-27,True
IOC-000073,domain,secure-sync.io,CMP-0064,48,TLP:RED,Abuse.ch,restricted,2026-03-05,2026-03-24,True
IOC-000074,md5,6654c15d49b599905a854414d9630ef3,CMP-0112,89,TLP:GREEN,OSINT Crawler,partner,2025-12-26,2026-02-20,True
IOC-000075,url,https://files.evilcdn.com/f3c2f45a,CMP-0145,49,TLP:GREEN,VirusTotal,restricted,2026-05-25,2026-06-01,True
IOC-000076,filename,report_urgent.docm,CMP-0133,41,TLP:CLEAR,Abuse.ch,partner,2025-12-26,2026-01-06,True
IOC-000077,filename,invoice-final.docm,CMP-0130,75,TLP:GREEN,Internal Honeypot,restricted,2025-12-14,2025-12-30,True
IOC-000078,url,https://files.xn--malware.com/20ae5049,CMP-0064,67,TLP:CLEAR,ISAC Share,partner,2025-06-12,2025-06-28,True
IOC-000079,md5,3a31d755a386428a6b2475cbab088426,CMP-0044,40,TLP:CLEAR,Abuse.ch,partner,2025-06-27,2025-07-12,True
IOC-000080,filename,scan_urgent.lnk,CMP-0056,42,TLP:RED,Confidential HUMINT,public,2024-08-08,2024-08-25,True
IOC-000081,ipv4,86.145.95.201,CMP-0007,48,TLP:AMBER,Internal Honeypot,public,2025-05-23,2025-07-21,True
IOC-000082,ipv4,74.230.104.186,CMP-0017,99,TLP:CLEAR,Mandiant,confidential,2025-01-31,2025-02-08,True
IOC-000083,domain,login-files.net,CMP-0082,91,TLP:AMBER,Mandiant,public,2024-08-02,2024-09-11,True
IOC-000084,filename,invoice_urgent.iso,CMP-0018,44,TLP:GREEN,Internal Honeypot,confidential,2026-01-15,2026-02-11,True
IOC-000085,ipv4,176.73.184.36,CMP-0037,44,TLP:CLEAR,Abuse.ch,confidential,2025-12-01,2025-12-12,True
IOC-000086,ipv4,204.239.84.97,CMP-0036,80,TLP:RED,Internal Honeypot,public,2026-05-25,2026-06-01,True
IOC-000087,email,it-support@secure-mail.com,CMP-0055,53,TLP:CLEAR,OSINT Crawler,partner,2026-02-24,2026-03-16,False
IOC-000088,email,it-support@secure-mail.com,CMP-0003,55,TLP:GREEN,VirusTotal,restricted,2026-03-16,2026-05-14,False
IOC-000089,domain,secure-auth.co,CMP-0001,45,TLP:CLEAR,Internal Honeypot,confidential,2024-12-30,2025-01-10,True
IOC-000090,domain,login-files.io,CMP-0116,83,TLP:CLEAR,OSINT Crawler,confidential,2025-07-28,2025-08-09,True
IOC-000091,filename,resume-final.zip,CMP-0125,65,TLP:CLEAR,ISAC Share,restricted,2025-07-15,2025-08-16,True
IOC-000092,email,it-support@acct-verify.com,CMP-0082,93,TLP:RED,Recorded Future,confidential,2025-12-29,2026-02-17,True
IOC-000093,ipv4,209.167.211.5,CMP-0055,48,TLP:RED,ISAC Share,restricted,2025-10-19,2025-12-15,True
IOC-000094,ipv4,215.90.171.108,CMP-0129,55,TLP:CLEAR,VirusTotal,confidential,2024-12-31,2025-02-15,True
IOC-000095,domain,cdn-auth.com,CMP-0046,64,TLP:GREEN,OSINT Crawler,restricted,2025-01-09,2025-01-10,True
IOC-000096,ipv4,186.21.159.26,CMP-0104,78,TLP:RED,Internal Honeypot,restricted,2024-09-27,2024-11-20,False
IOC-000097,md5,d7f4154a682f1216837c5df17d0330b9,CMP-0064,79,TLP:RED,OSINT Crawler,partner,2025-09-09,2025-10-01,False
IOC-000098,email,no-reply@dropbox-team.com,CMP-0132,68,TLP:GREEN,VirusTotal,confidential,2025-12-14,2025-12-19,True
IOC-000099,domain,cdn-share.com,CMP-0016,54,TLP:AMBER,OSINT Crawler,public,2026-04-22,2026-04-25,True
IOC-000100,ipv4,207.212.124.244,CMP-0080,66,TLP:CLEAR,OSINT Crawler,confidential,2026-01-17,2026-02-11,False
IOC-000101,ipv4,244.74.242.201,CMP-0127,63,TLP:CLEAR,VirusTotal,confidential,2024-10-27,2024-10-30,True
IOC-000102,filename,invoice-final.zip,CMP-0106,97,TLP:GREEN,Internal Honeypot,public,2024-12-21,2025-01-17,True
IOC-000103,domain,cdn-share.com,CMP-0083,100,TLP:RED,ISAC Share,public,2025-10-27,2025-12-21,True
IOC-000104,md5,a0ca6592c1f75a06879d0987181cb93b,CMP-0080,76,TLP:GREEN,CrowdStrike Falcon X,restricted,2024-10-01,2024-11-24,False
IOC-000105,filename,resume_urgent.zip,CMP-0017,73,TLP:CLEAR,OSINT Crawler,public,2025-09-09,2025-10-21,True
IOC-000106,domain,dropbox-auth.co,CMP-0142,78,TLP:AMBER,Abuse.ch,public,2025-04-25,2025-06-02,True
IOC-000107,filename,invoice_urgent.iso,CMP-0041,77,TLP:RED,VirusTotal,confidential,2026-03-23,2026-04-24,True
IOC-000108,domain,vault-files.com,CMP-0003,100,TLP:RED,Recorded Future,confidential,2025-05-21,2025-06-06,False
IOC-000109,email,no-reply@secure-mail.com,CMP-0080,47,TLP:GREEN,Mandiant,restricted,2026-03-28,2026-04-03,True
IOC-000110,domain,cdn-auth.net,CMP-0090,67,TLP:CLEAR,CrowdStrike Falcon X,confidential,2024-07-12,2024-08-02,True
IOC-000111,ipv4,191.69.222.157,CMP-0100,62,TLP:AMBER,Mandiant,confidential,2026-05-28,2026-06-01,True
IOC-000112,domain,dropbox-portal.io,CMP-0100,78,TLP:AMBER,Mandiant,public,2024-07-30,2024-09-10,False
IOC-000113,ipv4,88.1.175.90,CMP-0064,98,TLP:CLEAR,Confidential HUMINT,public,2025-08-07,2025-09-19,False
IOC-000114,filename,invoice_2026.pdf.exe,CMP-0104,67,TLP:CLEAR,Confidential HUMINT,restricted,2026-03-23,2026-04-16,True
IOC-000115,md5,5464be7218fb543fb73506b54e5bfbee,CMP-0127,46,TLP:AMBER,Confidential HUMINT,confidential,2026-05-18,2026-06-01,False
IOC-000116,sha256,193fa8b4c031fc12fb95d636bba4cdb03499afde24ce3fa26c6fe0c85fa90e3d,CMP-0140,63,TLP:AMBER,Recorded Future,partner,2026-04-16,2026-05-05,True
IOC-000117,sha256,7a8770737c871c6156d0a52214e8b5cce4a7634d490d5e0045cf49f24eb32e88,CMP-0125,52,TLP:RED,Internal Honeypot,restricted,2025-07-18,2025-08-02,True
IOC-000118,url,https://cdn.xn--malware.com/a1715c8c,CMP-0136,90,TLP:GREEN,ISAC Share,restricted,2025-11-25,2025-11-25,True
IOC-000119,md5,51a93c9fd1076ba60970547152c22563,CMP-0089,66,TLP:CLEAR,Confidential HUMINT,partner,2026-05-26,2026-06-01,False
IOC-000120,url,https://dl.evilcdn.com/fbfcbf7e,CMP-0010,50,TLP:GREEN,OSINT Crawler,public,2024-12-25,2025-02-19,True
IOC-000121,domain,secure-files.co,CMP-0073,82,TLP:AMBER,Mandiant,partner,2024-11-20,2025-01-03,True
IOC-000122,filename,resume-final.lnk,CMP-0145,83,TLP:GREEN,Internal Honeypot,partner,2025-09-24,2025-11-15,True
IOC-000123,md5,6b0ec5a08d46aa924e57fbc182659be1,CMP-0019,67,TLP:AMBER,Internal Honeypot,partner,2025-03-31,2025-05-23,False
IOC-000124,url,https://files.evilcdn.com/e235240f,CMP-0051,77,TLP:GREEN,Confidential HUMINT,confidential,2026-01-13,2026-03-01,True
IOC-000125,url,https://files.evilcdn.com/eda5c768,CMP-0123,82,TLP:CLEAR,Confidential HUMINT,partner,2025-07-11,2025-08-26,False
IOC-000126,md5,db6da2bf271eb857d3d1a00e27eb2c40,CMP-0029,83,TLP:RED,Confidential HUMINT,restricted,2024-10-18,2024-12-03,False
IOC-000127,filename,update_2026.docm,CMP-0043,70,TLP:CLEAR,Internal Honeypot,restricted,2026-02-11,2026-04-12,True
IOC-000128,md5,e2fbf50e59f621ac59e1ab5649783709,CMP-0142,66,TLP:AMBER,Confidential HUMINT,restricted,2025-06-29,2025-07-12,True
IOC-000129,ipv4,135.100.96.36,CMP-0052,90,TLP:GREEN,CrowdStrike Falcon X,confidential,2025-08-21,2025-09-02,True
IOC-000130,url,https://cdn.badhost.com/88390f1f,CMP-0010,51,TLP:AMBER,OSINT Crawler,restricted,2025-10-29,2025-12-27,True
IOC-000131,md5,96b31bd04c98b6aa8e8c9733d95a6ac3,CMP-0100,97,TLP:CLEAR,ISAC Share,public,2024-10-10,2024-11-28,True
IOC-000132,ipv4,50.150.83.187,CMP-0018,45,TLP:CLEAR,Mandiant,public,2025-10-20,2025-10-25,True
IOC-000133,url,https://static.badhost.com/d8743dcc,CMP-0065,60,TLP:CLEAR,VirusTotal,confidential,2025-02-26,2025-04-05,True
IOC-000134,url,https://files.evilcdn.com/f0b7e4cb,CMP-0009,66,TLP:RED,VirusTotal,public,2024-10-19,2024-10-27,True
IOC-000135,md5,e2e131e4eae7bb01f2a7425c28985cce,CMP-0049,71,TLP:RED,Recorded Future,partner,2024-12-21,2025-01-27,True
IOC-000136,md5,878d2911e90637a2f1b17a6dce239751,CMP-0069,61,TLP:GREEN,CrowdStrike Falcon X,partner,2025-06-11,2025-07-04,False
IOC-000137,ipv4,59.180.238.250,CMP-0074,48,TLP:AMBER,OSINT Crawler,public,2025-09-08,2025-10-19,True
IOC-000138,domain,dropbox-sync.net,CMP-0033,78,TLP:AMBER,VirusTotal,public,2024-12-09,2025-01-05,False
IOC-000139,url,https://cdn.evilcdn.com/f22c206b,CMP-0041,53,TLP:AMBER,VirusTotal,confidential,2024-10-28,2024-11-04,False
IOC-000140,domain,update-portal.com,CMP-0032,71,TLP:RED,ISAC Share,partner,2024-08-16,2024-09-23,True
IOC-000141,md5,4df0a29d1f9b355d3f5380a867e457ce,CMP-0021,43,TLP:CLEAR,OSINT Crawler,restricted,2025-01-23,2025-03-21,False
IOC-000142,md5,818395b2d697e0a86e7800028a345ca4,CMP-0041,52,TLP:RED,ISAC Share,restricted,2026-04-18,2026-06-01,True
IOC-000143,ipv4,25.150.93.88,CMP-0094,71,TLP:AMBER,Internal Honeypot,restricted,2025-04-08,2025-05-08,True
IOC-000144,ipv4,223.147.53.137,CMP-0101,74,TLP:RED,Abuse.ch,public,2024-10-09,2024-11-08,False
IOC-000145,email,it-support@secure-mail.com,CMP-0117,57,TLP:CLEAR,Mandiant,confidential,2025-05-15,2025-06-12,True
IOC-000146,sha256,6cbfc74f6880a89b90b294766c5249a3ef8c96e00fd890547466cb451365c4e1,CMP-0085,83,TLP:AMBER,CrowdStrike Falcon X,confidential,2026-01-31,2026-03-28,False
IOC-000147,md5,81b7175226d3a9df675a0a9060bd2188,CMP-0012,62,TLP:AMBER,CrowdStrike Falcon X,confidential,2025-12-29,2026-01-02,True
IOC-000148,domain,secure-files.com,CMP-0089,49,TLP:GREEN,ISAC Share,public,2026-01-16,2026-02-10,False
IOC-000149,md5,84dc07ed79afd1e6349d9ea30f1e6553,CMP-0088,52,TLP:CLEAR,CrowdStrike Falcon X,restricted,2025-09-03,2025-10-09,False
IOC-000150,filename,scan_2026.lnk,CMP-0068,79,TLP:GREEN,Internal Honeypot,confidential,2024-09-09,2024-10-22,True
IOC-000151,domain,secure-share.co,CMP-0037,45,TLP:GREEN,Abuse.ch,confidential,2024-10-15,2024-11-09,True
IOC-000152,filename,scan_2026.docm,CMP-0051,43,TLP:CLEAR,VirusTotal,public,2024-12-06,2024-12-28,True
IOC-000153,url,https://files.badhost.com/e850c1f7,CMP-0133,56,TLP:GREEN,CrowdStrike Falcon X,restricted,2025-04-03,2025-04-05,False
IOC-000154,md5,53962aad238eee34b7e76593542e340c,CMP-0041,87,TLP:AMBER,Confidential HUMINT,partner,2025-03-29,2025-03-30,True
IOC-000155,email,no-reply@secure-mail.com,CMP-0026,93,TLP:GREEN,VirusTotal,restricted,2024-07-10,2024-08-16,True
IOC-000156,domain,secure-files.io,CMP-0099,78,TLP:GREEN,ISAC Share,partner,2024-07-02,2024-08-22,True
IOC-000157,url,https://files.evilcdn.com/e7766c09,CMP-0024,88,TLP:CLEAR,CrowdStrike Falcon X,restricted,2025-09-11,2025-11-03,True
IOC-000158,domain,update-share.io,CMP-0060,41,TLP:GREEN,VirusTotal,confidential,2026-05-14,2026-06-01,True
IOC-000159,filename,report-final.zip,CMP-0059,56,TLP:CLEAR,Abuse.ch,restricted,2026-01-14,2026-02-19,True
IOC-000160,md5,dedbf0acd61c61547b361bd4575a6bf1,CMP-0018,90,TLP:RED,Recorded Future,public,2024-07-07,2024-08-01,True
IOC-000161,filename,report_2026.zip,CMP-0036,59,TLP:RED,Confidential HUMINT,public,2025-10-07,2025-11-24,True
IOC-000162,email,admin@secure-mail.com,CMP-0096,74,TLP:AMBER,Abuse.ch,restricted,2025-04-10,2025-05-09,True
IOC-000163,md5,9398019b5ec8a15e50d309c0b0f85498,CMP-0051,67,TLP:AMBER,Confidential HUMINT,restricted,2025-11-07,2025-11-13,False
IOC-000164,domain,dropbox-auth.co,CMP-0143,80,TLP:CLEAR,ISAC Share,partner,2026-02-16,2026-04-04,True
IOC-000165,ipv4,205.135.106.51,CMP-0040,44,TLP:CLEAR,OSINT Crawler,public,2024-08-25,2024-09-07,True
IOC-000166,url,https://cdn.badhost.com/0281f64a,CMP-0124,46,TLP:CLEAR,OSINT Crawler,confidential,2025-07-12,2025-07-27,True
IOC-000167,sha256,8487783120b3492d12c3581d71d11ef8ad6ccca72e56c9d4223ddc6ac1023802,CMP-0069,59,TLP:RED,OSINT Crawler,confidential,2025-12-20,2026-01-25,False
IOC-000168,domain,vault-share.net,CMP-0087,83,TLP:AMBER,Confidential HUMINT,partner,2025-06-12,2025-07-16,True
IOC-000169,ipv4,139.25.101.235,CMP-0120,75,TLP:GREEN,VirusTotal,confidential,2025-06-01,2025-06-30,True
IOC-000170,ipv4,212.68.142.183,CMP-0144,59,TLP:GREEN,Internal Honeypot,public,2026-04-28,2026-05-07,True
IOC-000171,ipv4,27.125.182.6,CMP-0035,99,TLP:AMBER,CrowdStrike Falcon X,restricted,2024-10-21,2024-11-16,True
IOC-000172,filename,report_urgent.iso,CMP-0025,65,TLP:AMBER,Internal Honeypot,restricted,2024-11-04,2024-12-11,True
IOC-000173,md5,7b17a16a70b55c2d5fda7097152d07a6,CMP-0010,78,TLP:CLEAR,Recorded Future,public,2025-10-21,2025-11-23,True
IOC-000174,md5,15fcc88d8f0319988583f5f16754ccd0,CMP-0043,84,TLP:GREEN,ISAC Share,public,2025-09-26,2025-10-22,True
IOC-000175,filename,update_urgent.lnk,CMP-0098,50,TLP:AMBER,CrowdStrike Falcon X,partner,2024-07-26,2024-09-04,False
IOC-000176,ipv4,195.190.121.24,CMP-0025,45,TLP:RED,Recorded Future,restricted,2024-11-26,2024-12-28,True
IOC-000177,filename,report_2026.pdf.exe,CMP-0104,83,TLP:CLEAR,ISAC Share,restricted,2026-05-26,2026-06-01,False
IOC-000178,ipv4,234.3.133.191,CMP-0058,72,TLP:GREEN,OSINT Crawler,restricted,2025-09-08,2025-11-03,True
IOC-000179,domain,secure-auth.io,CMP-0006,44,TLP:CLEAR,VirusTotal,restricted,2024-12-13,2025-02-07,True
IOC-000180,sha256,b43803744c281749b5db5f971edff2f30a784c1c8577fd3b34f15871976a73e7,CMP-0005,55,TLP:CLEAR,OSINT Crawler,confidential,2024-09-06,2024-10-13,True
IOC-000181,email,no-reply@acct-verify.com,CMP-0127,94,TLP:GREEN,CrowdStrike Falcon X,restricted,2024-07-28,2024-08-07,False
IOC-000182,filename,resume_urgent.zip,CMP-0042,73,TLP:GREEN,Abuse.ch,partner,2026-01-09,2026-02-04,False
IOC-000183,url,https://static.badhost.com/dabec5b5,CMP-0075,78,TLP:GREEN,Mandiant,confidential,2025-05-28,2025-07-03,False
IOC-000184,sha256,fb829af619d68169466d5931c15541656d35e1267607160e9f584bed1c717b77,CMP-0044,72,TLP:GREEN,Abuse.ch,partner,2024-09-14,2024-10-23,True
IOC-000185,domain,vault-files.co,CMP-0050,90,TLP:GREEN,ISAC Share,partner,2024-07-28,2024-07-30,True
IOC-000186,md5,05122473df42700b3485cfae74de3906,CMP-0124,43,TLP:GREEN,CrowdStrike Falcon X,partner,2026-01-15,2026-02-04,False
IOC-000187,filename,scan-final.pdf.exe,CMP-0001,63,TLP:CLEAR,Recorded Future,public,2025-10-21,2025-12-09,True
IOC-000188,ipv4,81.38.192.123,CMP-0086,56,TLP:RED,Confidential HUMINT,public,2024-09-30,2024-11-19,True
IOC-000189,domain,secure-sync.co,CMP-0061,69,TLP:CLEAR,VirusTotal,confidential,2026-01-07,2026-02-12,True
IOC-000190,url,https://static.badhost.com/50e54b88,CMP-0043,82,TLP:AMBER,ISAC Share,restricted,2024-08-29,2024-09-10,False
IOC-000191,domain,secure-share.com,CMP-0010,55,TLP:GREEN,Recorded Future,confidential,2024-09-23,2024-11-14,True
IOC-000192,filename,resume-final.zip,CMP-0034,41,TLP:GREEN,Internal Honeypot,public,2026-05-10,2026-05-31,True
IOC-000193,sha256,2eb84fd820618020336a7e43316a26575b2c3b507d4624a6429651f26ffa908a,CMP-0070,97,TLP:AMBER,OSINT Crawler,confidential,2025-02-03,2025-03-10,False
IOC-000194,email,billing@acct-verify.com,CMP-0004,59,TLP:AMBER,Confidential HUMINT,confidential,2024-08-12,2024-09-29,True
