action_id,account_id,action_type,reason_summary,taken_by,taken_at,related_investigation_id
ACT-00029,ACC-001417,session_revoked,Api token abuse response — temporary protective measure.,a.okafor,2026-03-10 01:06:48,INV-00297
ACT-00030,ACC-001244,session_revoked,Account takeover response — temporary protective measure.,c.ramirez,2026-02-01 11:43:49,INV-00036
ACT-00031,ACC-001806,session_revoked,Account takeover response — resolved after review.,p.novak,2026-04-28 09:31:35,INV-00122
ACT-00032,ACC-000998,account_suspended,Data exfiltration response — pending verification.,p.novak,2026-03-14 05:17:10,INV-00142
ACT-00033,ACC-001409,forced_password_reset,Credential stuffing response — pending verification.,p.novak,2026-05-24 21:18:43,INV-00145
ACT-00034,ACC-001471,mfa_enforced,Elevated risk score — pending verification.,m.chen,2026-03-12 05:39:42,
ACT-00035,ACC-000263,external_sharing_disabled,Linked to active campaign — pending verification.,j.fletcher,2026-05-24 13:22:40,
ACT-00036,ACC-001502,external_sharing_disabled,Policy violation — resolved after review.,t.ibrahim,2026-04-02 09:15:05,
ACT-00037,ACC-001862,session_revoked,Account takeover response — temporary protective measure.,s.delgado,2026-02-09 03:48:48,INV-00135
ACT-00038,ACC-000251,account_suspended,Malware delivery response — resolved after review.,p.novak,2026-05-27 11:43:51,INV-00249
ACT-00039,ACC-001465,manual_review,Phishing wave response — temporary protective measure.,j.fletcher,2026-05-10 01:14:24,INV-00270
ACT-00040,ACC-001240,account_suspended,Linked to active campaign — awaiting customer response.,t.ibrahim,2026-05-20 04:50:47,
ACT-00041,ACC-000940,manual_review,Phishing wave response — pending verification.,t.ibrahim,2026-05-28 21:35:29,INV-00270
ACT-00042,ACC-001554,manual_review,Insider activity response — pending verification.,c.ramirez,2026-05-04 12:50:01,INV-00317
ACT-00043,ACC-001256,manual_review,Data exfiltration response — resolved after review.,c.ramirez,2026-05-01 13:08:30,INV-00120
ACT-00044,ACC-000555,manual_review,Data exfiltration response — pending verification.,t.ibrahim,2026-05-24 04:27:07,INV-00103
ACT-00045,ACC-000855,account_suspended,Malware delivery response — pending verification.,a.okafor,2026-04-27 11:58:01,INV-00194
ACT-00046,ACC-000128,cleared_no_action,Linked to active campaign — temporary protective measure.,t.ibrahim,2026-02-06 16:08:10,
ACT-00047,ACC-001256,forced_password_reset,Linked to active campaign — awaiting customer response.,r.kowalski,2026-04-27 06:32:01,
ACT-00048,ACC-000104,manual_review,Benign response — pending verification.,c.ramirez,2026-05-22 02:25:37,INV-00282
ACT-00049,ACC-000009,mfa_enforced,Phishing wave response — temporary protective measure.,c.ramirez,2026-02-22 18:37:12,INV-00319
ACT-00050,ACC-001734,forced_password_reset,Elevated risk score — awaiting customer response.,p.novak,2026-03-18 21:07:34,
ACT-00051,ACC-001561,account_suspended,Policy violation — resolved after review.,m.chen,2026-02-25 00:03:24,
ACT-00052,ACC-001601,manual_review,Benign response — pending verification.,p.novak,2026-04-04 02:26:33,INV-00064
ACT-00053,ACC-000192,session_revoked,Account takeover response — resolved after review.,m.chen,2026-03-18 10:57:43,INV-00005
ACT-00054,ACC-000939,external_sharing_disabled,Insider activity response — pending verification.,s.delgado,2026-05-31 07:45:21,INV-00279
ACT-00055,ACC-001344,session_revoked,Api token abuse response — resolved after review.,r.kowalski,2026-03-06 10:05:05,INV-00233
ACT-00056,ACC-001806,manual_review,Benign response — temporary protective measure.,t.ibrahim,2026-02-07 23:19:02,INV-00138
ACT-00057,ACC-001997,external_sharing_disabled,Elevated risk score — awaiting customer response.,r.kowalski,2026-05-23 11:16:03,
ACT-00058,ACC-000372,manual_review,Benign response — pending verification.,p.novak,2026-03-16 19:47:22,INV-00296
ACT-00059,ACC-001127,account_suspended,Data exfiltration response — resolved after review.,a.okafor,2026-04-04 10:09:29,INV-00065
ACT-00060,ACC-000133,mfa_enforced,Elevated risk score — pending verification.,a.okafor,2026-02-13 20:53:11,
ACT-00061,ACC-001929,rate_limited,Credential stuffing response — temporary protective measure.,j.fletcher,2026-03-14 09:01:07,INV-00160
ACT-00062,ACC-001996,mfa_enforced,Account takeover response — temporary protective measure.,s.delgado,2026-03-20 09:34:10,INV-00165
ACT-00063,ACC-000981,forced_password_reset,Account takeover response — resolved after review.,r.kowalski,2026-04-22 23:32:27,INV-00232
ACT-00064,ACC-000299,forced_password_reset,Customer-reported compromise — temporary protective measure.,c.ramirez,2026-02-12 03:01:15,
ACT-00065,ACC-001346,forced_password_reset,Credential stuffing response — temporary protective measure.,m.chen,2026-04-03 01:15:49,INV-00140
ACT-00066,ACC-000747,external_sharing_disabled,Insider activity response — temporary protective measure.,p.novak,2026-05-04 22:50:52,INV-00187
ACT-00067,ACC-000252,forced_password_reset,Account takeover response — temporary protective measure.,c.ramirez,2026-05-18 06:36:52,INV-00045
ACT-00068,ACC-000269,session_revoked,Phishing wave response — pending verification.,p.novak,2026-03-19 21:20:32,INV-00151
ACT-00069,ACC-000594,rate_limited,Credential stuffing response — temporary protective measure.,p.novak,2026-03-06 18:51:03,INV-00098
ACT-00070,ACC-000879,account_suspended,Data exfiltration response — temporary protective measure.,r.kowalski,2026-02-06 15:15:16,INV-00156
ACT-00071,ACC-001282,account_suspended,Malware delivery response — temporary protective measure.,p.novak,2026-03-24 18:29:20,INV-00206
ACT-00072,ACC-001443,forced_password_reset,Credential stuffing response — pending verification.,j.fletcher,2026-06-01 16:38:10,INV-00197
ACT-00073,ACC-000567,mfa_enforced,Account takeover response — pending verification.,c.ramirez,2026-03-22 21:21:52,INV-00059
ACT-00074,ACC-001258,rate_limited,Api token abuse response — pending verification.,t.ibrahim,2026-02-02 01:58:21,INV-00029
ACT-00075,ACC-001017,session_revoked,Account takeover response — temporary protective measure.,j.fletcher,2026-03-02 21:49:38,INV-00193
ACT-00076,ACC-000079,forced_password_reset,Elevated risk score — resolved after review.,j.fletcher,2026-05-19 11:46:10,
ACT-00077,ACC-000418,manual_review,Phishing wave response — pending verification.,c.ramirez,2026-03-27 08:20:50,INV-00136
ACT-00078,ACC-000030,manual_review,Benign response — pending verification.,t.ibrahim,2026-05-15 17:11:14,INV-00055
ACT-00079,ACC-000374,session_revoked,Phishing wave response — pending verification.,p.novak,2026-05-31 14:30:31,INV-00030
ACT-00080,ACC-000648,rate_limited,Customer-reported compromise — pending verification.,s.delgado,2026-04-10 16:45:25,
ACT-00081,ACC-000257,session_revoked,Phishing wave response — temporary protective measure.,r.kowalski,2026-04-26 17:39:04,INV-00069
ACT-00082,ACC-000357,manual_review,Phishing wave response — resolved after review.,r.kowalski,2026-03-08 03:40:34,INV-00149
ACT-00083,ACC-000432,external_sharing_disabled,Insider activity response — pending verification.,m.chen,2026-03-18 07:59:49,INV-00129
ACT-00084,ACC-000976,external_sharing_disabled,Elevated risk score — awaiting customer response.,t.ibrahim,2026-03-31 23:26:26,
ACT-00085,ACC-001914,manual_review,Customer-reported compromise — temporary protective measure.,r.kowalski,2026-04-25 01:07:29,
ACT-00086,ACC-000134,mfa_enforced,Account takeover response — temporary protective measure.,t.ibrahim,2026-03-18 04:24:53,INV-00306
ACT-00087,ACC-000403,account_suspended,Malware delivery response — resolved after review.,r.kowalski,2026-03-09 15:17:52,INV-00115
ACT-00088,ACC-000631,account_suspended,Policy violation — temporary protective measure.,s.delgado,2026-04-02 16:39:47,
ACT-00089,ACC-000842,account_suspended,Malware delivery response — temporary protective measure.,j.fletcher,2026-04-14 15:17:16,INV-00276
ACT-00090,ACC-001856,rate_limited,Linked to active campaign — resolved after review.,t.ibrahim,2026-03-23 07:59:36,
ACT-00091,ACC-000564,cleared_no_action,Linked to active campaign — temporary protective measure.,m.chen,2026-03-14 19:06:23,
ACT-00092,ACC-001963,manual_review,Insider activity response — pending verification.,a.okafor,2026-05-20 01:01:13,INV-00162
ACT-00093,ACC-001158,manual_review,Insider activity response — pending verification.,t.ibrahim,2026-04-23 02:25:55,INV-00104
ACT-00094,ACC-000664,mfa_enforced,Account takeover response — temporary protective measure.,m.chen,2026-04-20 00:30:03,INV-00193
ACT-00095,ACC-000118,rate_limited,Linked to active campaign — temporary protective measure.,r.kowalski,2026-05-27 04:32:14,
ACT-00096,ACC-001312,external_sharing_disabled,Data exfiltration response — temporary protective measure.,a.okafor,2026-04-25 23:10:36,INV-00132
ACT-00097,ACC-001669,rate_limited,Multiple high-severity signals — awaiting customer response.,p.novak,2026-04-06 21:08:50,
ACT-00098,ACC-000020,external_sharing_disabled,Data exfiltration response — resolved after review.,p.novak,2026-03-26 20:16:29,INV-00302
ACT-00099,ACC-000922,rate_limited,Api token abuse response — resolved after review.,j.fletcher,2026-05-19 15:32:11,INV-00287
ACT-00100,ACC-001568,rate_limited,Linked to active campaign — awaiting customer response.,p.novak,2026-02-18 05:28:20,
ACT-00101,ACC-000263,manual_review,Benign response — pending verification.,a.okafor,2026-04-15 20:08:38,INV-00164
ACT-00102,ACC-000546,forced_password_reset,Multiple high-severity signals — resolved after review.,a.okafor,2026-02-12 15:38:06,
ACT-00103,ACC-000576,rate_limited,Multiple high-severity signals — resolved after review.,a.okafor,2026-05-20 22:20:29,
ACT-00104,ACC-000484,rate_limited,Api token abuse response — pending verification.,a.okafor,2026-04-02 13:46:12,INV-00237
ACT-00105,ACC-000195,manual_review,Linked to active campaign — pending verification.,m.chen,2026-05-07 08:27:53,
ACT-00106,ACC-000443,manual_review,Benign response — resolved after review.,j.fletcher,2026-04-02 21:45:22,INV-00286
ACT-00107,ACC-000143,account_suspended,Malware delivery response — pending verification.,c.ramirez,2026-03-02 03:56:36,INV-00031
ACT-00108,ACC-000740,account_suspended,Malware delivery response — pending verification.,r.kowalski,2026-03-16 20:58:16,INV-00115
ACT-00109,ACC-001490,session_revoked,Api token abuse response — resolved after review.,t.ibrahim,2026-02-07 13:06:16,INV-00070
ACT-00110,ACC-001485,manual_review,Benign response — resolved after review.,m.chen,2026-03-14 09:57:56,INV-00164
ACT-00111,ACC-000972,external_sharing_disabled,Customer-reported compromise — temporary protective measure.,t.ibrahim,2026-05-27 21:25:19,
ACT-00112,ACC-000601,external_sharing_disabled,Data exfiltration response — temporary protective measure.,c.ramirez,2026-03-02 13:52:41,INV-00086
ACT-00113,ACC-001561,manual_review,Benign response — temporary protective measure.,m.chen,2026-05-08 20:36:46,INV-00137
ACT-00114,ACC-001556,session_revoked,Elevated risk score — temporary protective measure.,j.fletcher,2026-02-13 20:55:39,
ACT-00115,ACC-000721,external_sharing_disabled,Insider activity response — temporary protective measure.,m.chen,2026-04-19 13:39:44,INV-00184
ACT-00116,ACC-000264,forced_password_reset,Credential stuffing response — resolved after review.,r.kowalski,2026-03-19 10:37:07,INV-00177
ACT-00117,ACC-001063,rate_limited,Credential stuffing response — pending verification.,a.okafor,2026-05-26 17:44:16,INV-00010
ACT-00118,ACC-001915,forced_password_reset,Credential stuffing response — temporary protective measure.,c.ramirez,2026-04-14 13:48:22,INV-00050
ACT-00119,ACC-000964,rate_limited,Multiple high-severity signals — temporary protective measure.,s.delgado,2026-05-25 12:15:02,
ACT-00120,ACC-000208,forced_password_reset,Credential stuffing response — pending verification.,j.fletcher,2026-03-13 19:55:29,INV-00148
ACT-00121,ACC-000753,external_sharing_disabled,Multiple high-severity signals — pending verification.,c.ramirez,2026-03-05 17:41:53,
ACT-00122,ACC-001345,external_sharing_disabled,Data exfiltration response — resolved after review.,s.delgado,2026-02-01 07:37:29,INV-00212
ACT-00123,ACC-000138,manual_review,Benign response — resolved after review.,j.fletcher,2026-03-24 02:14:17,INV-00134
ACT-00124,ACC-000628,mfa_enforced,Policy violation — pending verification.,p.novak,2026-03-20 09:17:56,
ACT-00125,ACC-001920,mfa_enforced,Policy violation — pending verification.,p.novak,2026-02-09 17:06:44,
ACT-00126,ACC-000718,rate_limited,Customer-reported compromise — pending verification.,j.fletcher,2026-03-16 23:28:41,
ACT-00127,ACC-001254,forced_password_reset,Credential stuffing response — pending verification.,p.novak,2026-03-23 21:56:09,INV-00318
ACT-00128,ACC-000553,rate_limited,Api token abuse response — resolved after review.,p.novak,2026-05-16 12:29:47,INV-00287
ACT-00129,ACC-001267,manual_review,Benign response — resolved after review.,t.ibrahim,2026-05-23 12:16:26,INV-00130
ACT-00130,ACC-000878,account_suspended,Malware delivery response — temporary protective measure.,m.chen,2026-04-23 23:35:53,INV-00201
ACT-00131,ACC-000244,account_suspended,Data exfiltration response — pending verification.,a.okafor,2026-03-30 16:52:24,INV-00283
ACT-00132,ACC-000458,mfa_enforced,Multiple high-severity signals — pending verification.,r.kowalski,2026-03-15 10:15:44,
ACT-00133,ACC-001094,forced_password_reset,Linked to active campaign — awaiting customer response.,a.okafor,2026-02-06 15:59:53,
ACT-00134,ACC-000728,manual_review,Insider activity response — resolved after review.,c.ramirez,2026-02-28 16:47:34,INV-00277
ACT-00135,ACC-001583,manual_review,Benign response — pending verification.,j.fletcher,2026-04-18 23:16:14,INV-00271
ACT-00136,ACC-000424,forced_password_reset,Linked to active campaign — awaiting customer response.,m.chen,2026-04-01 20:01:06,
ACT-00137,ACC-001385,external_sharing_disabled,Multiple high-severity signals — awaiting customer response.,t.ibrahim,2026-04-03 03:50:01,
ACT-00138,ACC-001202,rate_limited,Credential stuffing response — temporary protective measure.,s.delgado,2026-02-19 13:44:43,INV-00109
ACT-00139,ACC-000889,manual_review,Benign response — pending verification.,s.delgado,2026-04-22 06:39:00,INV-00137
ACT-00140,ACC-000586,rate_limited,Api token abuse response — pending verification.,t.ibrahim,2026-05-25 14:49:58,INV-00297
ACT-00141,ACC-001202,external_sharing_disabled,Data exfiltration response — temporary protective measure.,s.delgado,2026-03-05 03:17:29,INV-00028
ACT-00142,ACC-001806,manual_review,Linked to active campaign — awaiting customer response.,c.ramirez,2026-04-24 06:40:06,
ACT-00143,ACC-001320,manual_review,Data exfiltration response — temporary protective measure.,t.ibrahim,2026-03-12 06:04:06,INV-00131
ACT-00144,ACC-001485,external_sharing_disabled,Multiple high-severity signals — resolved after review.,s.delgado,2026-04-02 00:19:15,
ACT-00145,ACC-000404,mfa_enforced,Phishing wave response — pending verification.,t.ibrahim,2026-04-15 02:07:30,INV-00069
ACT-00146,ACC-001821,rate_limited,Credential stuffing response — pending verification.,p.novak,2026-05-25 21:19:32,INV-00116
ACT-00147,ACC-000187,cleared_no_action,Elevated risk score — awaiting customer response.,t.ibrahim,2026-05-24 06:55:04,
ACT-00148,ACC-001047,mfa_enforced,Multiple high-severity signals — awaiting customer response.,c.ramirez,2026-03-16 16:09:34,
ACT-00149,ACC-001154,external_sharing_disabled,Policy violation — awaiting customer response.,a.okafor,2026-04-01 00:24:26,
ACT-00150,ACC-000652,mfa_enforced,Linked to active campaign — temporary protective measure.,r.kowalski,2026-02-12 17:58:12,
ACT-00151,ACC-001833,account_suspended,Malware delivery response — resolved after review.,a.okafor,2026-04-14 09:36:23,INV-00192
ACT-00152,ACC-000093,cleared_no_action,Elevated risk score — temporary protective measure.,p.novak,2026-03-23 02:52:15,
ACT-00153,ACC-001186,account_suspended,Policy violation — awaiting customer response.,c.ramirez,2026-05-31 23:39:19,
ACT-00154,ACC-001846,account_suspended,Elevated risk score — resolved after review.,r.kowalski,2026-02-07 16:23:20,
ACT-00155,ACC-000449,mfa_enforced,Phishing wave response — pending verification.,j.fletcher,2026-02-14 08:55:11,INV-00171
ACT-00156,ACC-001911,forced_password_reset,Elevated risk score — awaiting customer response.,t.ibrahim,2026-03-15 23:58:05,
ACT-00157,ACC-000960,session_revoked,Account takeover response — temporary protective measure.,m.chen,2026-05-18 10:14:40,INV-00242
ACT-00158,ACC-000574,account_suspended,Linked to active campaign — resolved after review.,m.chen,2026-03-04 01:03:23,
ACT-00159,ACC-000229,forced_password_reset,Multiple high-severity signals — temporary protective measure.,a.okafor,2026-02-14 13:53:27,
ACT-00160,ACC-001736,forced_password_reset,Policy violation — resolved after review.,c.ramirez,2026-05-10 23:56:33,
ACT-00161,ACC-001260,account_suspended,Multiple high-severity signals — temporary protective measure.,p.novak,2026-03-04 00:50:20,
ACT-00162,ACC-001507,account_suspended,Malware delivery response — resolved after review.,m.chen,2026-02-26 07:01:49,INV-00194
ACT-00163,ACC-001012,forced_password_reset,Policy violation — awaiting customer response.,s.delgado,2026-02-27 04:50:25,
ACT-00164,ACC-001578,account_suspended,Multiple high-severity signals — pending verification.,j.fletcher,2026-04-30 15:46:04,
ACT-00165,ACC-001332,rate_limited,Credential stuffing response — pending verification.,r.kowalski,2026-03-31 16:28:40,INV-00219
ACT-00166,ACC-001293,rate_limited,Credential stuffing response — resolved after review.,c.ramirez,2026-02-09 16:52:12,INV-00197
ACT-00167,ACC-000185,rate_limited,Policy violation — pending verification.,a.okafor,2026-02-28 00:01:19,
ACT-00168,ACC-001984,forced_password_reset,Credential stuffing response — pending verification.,c.ramirez,2026-04-19 13:47:04,INV-00166
ACT-00169,ACC-000294,manual_review,Benign response — pending verification.,s.delgado,2026-03-17 02:54:49,INV-00176
ACT-00170,ACC-001020,manual_review,Phishing wave response — pending verification.,t.ibrahim,2026-04-16 02:03:18,INV-00112
ACT-00171,ACC-000272,manual_review,Phishing wave response — resolved after review.,r.kowalski,2026-05-01 22:59:57,INV-00089
ACT-00172,ACC-001621,session_revoked,Account takeover response — pending verification.,r.kowalski,2026-05-19 16:22:36,INV-00165
ACT-00173,ACC-000795,manual_review,Insider activity response — temporary protective measure.,j.fletcher,2026-04-13 02:45:11,INV-00083
ACT-00174,ACC-000652,account_suspended,Malware delivery response — resolved after review.,s.delgado,2026-02-14 18:35:24,INV-00194
ACT-00175,ACC-000735,cleared_no_action,Multiple high-severity signals — temporary protective measure.,r.kowalski,2026-02-11 16:25:32,
ACT-00176,ACC-000785,session_revoked,Policy violation — temporary protective measure.,r.kowalski,2026-03-10 05:17:04,
ACT-00177,ACC-000397,external_sharing_disabled,Insider activity response — temporary protective measure.,a.okafor,2026-03-13 09:28:14,INV-00042
ACT-00178,ACC-000631,forced_password_reset,Credential stuffing response — resolved after review.,s.delgado,2026-03-04 03:02:44,INV-00098
ACT-00179,ACC-000861,manual_review,Data exfiltration response — resolved after review.,s.delgado,2026-05-03 21:20:53,INV-00015
ACT-00180,ACC-000369,cleared_no_action,Linked to active campaign — temporary protective measure.,m.chen,2026-03-18 19:57:55,
ACT-00181,ACC-001051,manual_review,Phishing wave response — temporary protective measure.,r.kowalski,2026-02-19 08:53:57,INV-00074
ACT-00182,ACC-000735,forced_password_reset,Account takeover response — pending verification.,c.ramirez,2026-02-18 19:21:28,INV-00088
ACT-00183,ACC-001743,mfa_enforced,Account takeover response — resolved after review.,a.okafor,2026-05-28 04:17:36,INV-00122
ACT-00184,ACC-000133,manual_review,Data exfiltration response — temporary protective measure.,t.ibrahim,2026-03-20 07:29:33,INV-00266
ACT-00185,ACC-001357,session_revoked,Account takeover response — resolved after review.,j.fletcher,2026-05-08 11:48:27,INV-00193
ACT-00186,ACC-000464,manual_review,Phishing wave response — temporary protective measure.,r.kowalski,2026-04-17 02:41:05,INV-00151
ACT-00187,ACC-001592,forced_password_reset,Credential stuffing response — resolved after review.,c.ramirez,2026-02-14 11:45:08,INV-00010
ACT-00188,ACC-000633,rate_limited,Linked to active campaign — pending verification.,m.chen,2026-05-18 22:42:00,
ACT-00189,ACC-000947,session_revoked,Phishing wave response — temporary protective measure.,s.delgado,2026-05-23 14:26:24,INV-00043
ACT-00190,ACC-001855,manual_review,Benign response — pending verification.,s.delgado,2026-04-04 19:13:09,INV-00288
ACT-00191,ACC-001943,session_revoked,Elevated risk score — resolved after review.,s.delgado,2026-04-11 19:56:36,
ACT-00192,ACC-000986,forced_password_reset,Elevated risk score — pending verification.,a.okafor,2026-02-15 01:19:30,
ACT-00193,ACC-001738,session_revoked,Phishing wave response — temporary protective measure.,r.kowalski,2026-02-20 01:44:23,INV-00107
ACT-00194,ACC-001508,manual_review,Data exfiltration response — resolved after review.,p.novak,2026-05-01 17:41:01,INV-00259
ACT-00195,ACC-000934,external_sharing_disabled,Insider activity response — pending verification.,r.kowalski,2026-05-05 07:57:02,INV-00214
ACT-00196,ACC-001047,external_sharing_disabled,Customer-reported compromise — resolved after review.,t.ibrahim,2026-04-01 07:32:21,
ACT-00197,ACC-000328,external_sharing_disabled,Data exfiltration response — pending verification.,m.chen,2026-02-19 05:37:50,INV-00132
ACT-00198,ACC-000511,mfa_enforced,Account takeover response — temporary protective measure.,s.delgado,2026-05-10 15:25:14,INV-00243
ACT-00199,ACC-000501,forced_password_reset,Credential stuffing response — temporary protective measure.,m.chen,2026-05-18 23:16:14,INV-00008
ACT-00200,ACC-001857,rate_limited,Elevated risk score — pending verification.,a.okafor,2026-03-11 13:59:43,
ACT-00201,ACC-001927,mfa_enforced,Multiple high-severity signals — pending verification.,p.novak,2026-05-18 08:33:00,
ACT-00202,ACC-001097,external_sharing_disabled,Data exfiltration response — resolved after review.,p.novak,2026-05-24 18:12:56,INV-00032
ACT-00203,ACC-001637,session_revoked,Multiple high-severity signals — awaiting customer response.,p.novak,2026-03-24 22:30:18,
ACT-00204,ACC-000879,manual_review,Customer-reported compromise — resolved after review.,a.okafor,2026-03-13 22:28:06,
ACT-00205,ACC-001411,session_revoked,Account takeover response — pending verification.,m.chen,2026-02-14 04:42:53,INV-00045
ACT-00206,ACC-001715,session_revoked,Api token abuse response — resolved after review.,p.novak,2026-05-19 16:13:17,INV-00047
ACT-00207,ACC-000789,manual_review,Data exfiltration response — resolved after review.,t.ibrahim,2026-04-21 07:36:32,INV-00264
ACT-00208,ACC-000574,external_sharing_disabled,Insider activity response — temporary protective measure.,j.fletcher,2026-05-01 22:54:31,INV-00187
ACT-00209,ACC-000108,external_sharing_disabled,Multiple high-severity signals — temporary protective measure.,m.chen,2026-03-29 08:11:45,
ACT-00210,ACC-001620,forced_password_reset,Credential stuffing response — resolved after review.,c.ramirez,2026-02-13 13:28:51,INV-00148
ACT-00211,ACC-001256,external_sharing_disabled,Data exfiltration response — pending verification.,c.ramirez,2026-02-14 07:58:19,INV-00068
ACT-00212,ACC-000997,session_revoked,Policy violation — pending verification.,r.kowalski,2026-04-29 17:27:47,
ACT-00213,ACC-000600,forced_password_reset,Customer-reported compromise — resolved after review.,p.novak,2026-02-16 13:00:40,
ACT-00214,ACC-001917,account_suspended,Malware delivery response — pending verification.,s.delgado,2026-04-17 15:38:40,INV-00206
ACT-00215,ACC-001750,mfa_enforced,Account takeover response — pending verification.,p.novak,2026-05-26 02:45:05,INV-00005
ACT-00216,ACC-001373,rate_limited,Credential stuffing response — temporary protective measure.,a.okafor,2026-02-03 22:50:09,INV-00228
ACT-00217,ACC-001498,rate_limited,Elevated risk score — temporary protective measure.,a.okafor,2026-03-31 23:49:29,
ACT-00218,ACC-001734,rate_limited,Policy violation — pending verification.,s.delgado,2026-05-07 07:16:55,
ACT-00219,ACC-000981,account_suspended,Malware delivery response — temporary protective measure.,j.fletcher,2026-02-17 19:20:58,INV-00272
ACT-00220,ACC-001669,manual_review,Data exfiltration response — resolved after review.,p.novak,2026-05-20 23:13:57,INV-00086
ACT-00221,ACC-001637,mfa_enforced,Customer-reported compromise — pending verification.,c.ramirez,2026-02-18 11:40:34,
ACT-00222,ACC-000888,manual_review,Benign response — temporary protective measure.,s.delgado,2026-05-24 22:09:09,INV-00286
ACT-00223,ACC-000758,session_revoked,Account takeover response — temporary protective measure.,j.fletcher,2026-03-13 06:12:20,INV-00232
ACT-00224,ACC-000159,account_suspended,Multiple high-severity signals — temporary protective measure.,j.fletcher,2026-03-04 09:15:47,
ACT-00225,ACC-000229,manual_review,Benign response — temporary protective measure.,c.ramirez,2026-02-13 00:29:37,INV-00125
ACT-00226,ACC-000263,cleared_no_action,Multiple high-severity signals — awaiting customer response.,p.novak,2026-04-03 19:18:02,
ACT-00227,ACC-001470,external_sharing_disabled,Insider activity response — pending verification.,j.fletcher,2026-05-02 15:01:28,INV-00027
ACT-00228,ACC-000163,external_sharing_disabled,Policy violation — resolved after review.,j.fletcher,2026-02-16 03:29:22,
ACT-00229,ACC-000601,forced_password_reset,Credential stuffing response — pending verification.,r.kowalski,2026-03-13 02:00:24,INV-00253
ACT-00230,ACC-001498,manual_review,Benign response — resolved after review.,r.kowalski,2026-02-21 13:49:21,INV-00134
ACT-00231,ACC-001502,external_sharing_disabled,Customer-reported compromise — resolved after review.,c.ramirez,2026-02-10 17:10:43,
