indicator_id,indicator_value,urlhaus_type,host,url_status,threat,tags,family,payload_file_type,payload_md5,payload_sha256,urlhaus_reference,date_added
IOC-003244,115.51.60.151,host,115.51.60.151,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003245,115.53.209.7,host,115.53.209.7,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003246,115.55.114.3,host,115.55.114.3,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003247,115.55.129.109,host,115.55.129.109,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003248,115.55.196.212,host,115.55.196.212,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003249,115.55.225.21,host,115.55.225.21,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003250,115.55.243.7,host,115.55.243.7,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003251,115.55.55.2,host,115.55.55.2,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003252,115.57.254.36,host,115.57.254.36,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003253,115.59.238.224,host,115.59.238.224,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003254,115.59.84.52,host,115.59.84.52,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003255,115.63.151.252,host,115.63.151.252,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003256,116.10.133.16,host,116.10.133.16,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003257,116.138.31.91,host,116.138.31.91,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003258,116.139.27.243,host,116.139.27.243,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003259,117.146.92.46,host,117.146.92.46,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003260,119.178.249.120,host,119.178.249.120,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003261,119.179.255.95,host,119.179.255.95,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003262,119.180.244.221,host,119.180.244.221,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003263,119.185.242.64,host,119.185.242.64,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003264,120.28.193.170,host,120.28.193.170,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003265,122.157.66.34,host,122.157.66.34,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003266,123.10.230.114,host,123.10.230.114,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003267,123.10.7.55,host,123.10.7.55,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003268,123.189.203.202,host,123.189.203.202,,malware_download,,Generic,,,,,2026-06-11
IOC-003269,123.190.97.164,host,123.190.97.164,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003270,123.4.247.134,host,123.4.247.134,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003271,123.5.113.133,host,123.5.113.133,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003272,123.5.153.145,host,123.5.153.145,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003273,123.5.168.33,host,123.5.168.33,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003274,123.5.168.75,host,123.5.168.75,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003275,123.5.173.15,host,123.5.173.15,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003276,123.9.221.162,host,123.9.221.162,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003277,124.94.251.14,host,124.94.251.14,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003278,125.40.122.230,host,125.40.122.230,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003279,125.40.155.78,host,125.40.155.78,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003280,125.41.140.0,host,125.41.140.0,,malware_download,,Generic,,,,,2026-06-10
IOC-003281,125.41.169.186,host,125.41.169.186,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003282,125.41.2.75,host,125.41.2.75,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003283,125.41.227.228,host,125.41.227.228,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003284,125.41.72.161,host,125.41.72.161,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003285,125.42.119.63,host,125.42.119.63,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003286,125.44.206.11,host,125.44.206.11,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003287,125.44.58.115,host,125.44.58.115,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003288,125.44.61.164,host,125.44.61.164,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003289,125.46.133.49,host,125.46.133.49,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003290,141.11.17.254,host,141.11.17.254,,malware_download,,Generic,,,,,2026-06-10
IOC-003291,141.98.10.30,host,141.98.10.30,,malware_download,141-98-10-30;connectwise;exe;ua-wget,ConnectWise,,,,,2026-06-10
IOC-003292,142.93.165.186,host,142.93.165.186,,malware_download,elf;mirai,Mirai,,,,,2026-06-10
IOC-003293,142.93.47.76,host,142.93.47.76,,malware_download,mirai,Mirai,,,,,2026-06-10
IOC-003294,150.40.127.154,host,150.40.127.154,,malware_download,elf;gafgyt;m68k;mirai;ua-wget,Gafgyt,,,,,2026-06-11
IOC-003295,151.241.154.196,host,151.241.154.196,,malware_download,exe;opendir;RemcosRAT;WsgiDAV,RemcosRAT,,,,,2026-06-10
IOC-003296,152.236.7.10,host,152.236.7.10,,malware_download,elf;mips;mirai;ua-wget,Mirai,,,,,2026-06-10
IOC-003297,153.80.240.173,host,153.80.240.173,,malware_download,MassLogger;opendir,Generic,,,,,2026-06-10
IOC-003298,16.171.16.1,host,16.171.16.1,,malware_download,16-171-16-1;DDoSAgent;elf;ua-wget,Generic,,,,,2026-06-10
IOC-003299,162.255.251.91,host,162.255.251.91,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003300,163.142.77.139,host,163.142.77.139,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003301,163.142.79.122,host,163.142.79.122,,malware_download,,Generic,,,,,2026-06-10
IOC-003302,163.142.79.144,host,163.142.79.144,,malware_download,,Generic,,,,,2026-06-10
IOC-003303,163.142.79.148,host,163.142.79.148,,malware_download,,Generic,,,,,2026-06-11
IOC-003304,163.142.93.245,host,163.142.93.245,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003305,169.40.104.99,host,169.40.104.99,,malware_download,botnet;mirai,Mirai,,,,,2026-06-10
IOC-003306,175.149.91.200,host,175.149.91.200,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003307,175.151.124.45,host,175.151.124.45,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003308,176.65.139.50,host,176.65.139.50,,malware_download,176-65-139-50;elf;gafgyt;ua-wget,Gafgyt,,,,,2026-06-10
IOC-003309,176.65.139.54,host,176.65.139.54,,malware_download,176-65-139-54;elf;mirai;ua-wget,Mirai,,,,,2026-06-10
IOC-003310,178.16.52.221,host,178.16.52.221,,malware_download,178-16-52-221;connectwise;exe;ua-wget,ConnectWise,,,,,2026-06-10
IOC-003311,178.16.52.66,host,178.16.52.66,,malware_download,178-16-52-66;connectwise;exe;ua-wget,ConnectWise,,,,,2026-06-10
IOC-003312,178.16.54.109,host,178.16.54.109,,malware_download,dropped-by-Phorpiex;phorpiex,Phorpiex,,,,,2026-06-10
IOC-003313,178.17.58.125,host,178.17.58.125,,malware_download,MassLogger,Generic,,,,,2026-06-10
IOC-003314,180.190.203.41,host,180.190.203.41,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003315,181xlt4g.gavaedfagahe.xyz,host,181xlt4g.gavaedfagahe.xyz,,malware_download,ClearFake,ClearFake,,,,,2026-06-10
IOC-003316,182.112.249.170,host,182.112.249.170,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003317,182.112.29.220,host,182.112.29.220,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003318,182.113.1.18,host,182.113.1.18,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003319,182.113.206.245,host,182.113.206.245,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003320,182.113.40.92,host,182.113.40.92,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003321,182.113.46.39,host,182.113.46.39,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003322,182.117.51.188,host,182.117.51.188,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003323,182.119.249.189,host,182.119.249.189,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003324,182.119.3.142,host,182.119.3.142,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003325,182.119.56.46,host,182.119.56.46,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003326,182.121.152.94,host,182.121.152.94,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003327,182.123.195.218,host,182.123.195.218,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003328,182.126.112.250,host,182.126.112.250,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003329,182.126.120.91,host,182.126.120.91,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003330,182.126.196.190,host,182.126.196.190,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003331,182.126.248.111,host,182.126.248.111,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003332,182.126.91.133,host,182.126.91.133,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003333,182.127.102.90,host,182.127.102.90,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003334,182.127.111.83,host,182.127.111.83,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003335,182.127.121.158,host,182.127.121.158,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003336,182.127.161.107,host,182.127.161.107,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003337,182.90.192.6,host,182.90.192.6,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-11
IOC-003338,183.149.40.166,host,183.149.40.166,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003339,185.234.100.154,host,185.234.100.154,,malware_download,elf;mirai;opendir;ua-wget;x86,Mirai,,,,,2026-06-10
IOC-003340,188.132.232.81,host,188.132.232.81,,malware_download,elf;ua-wget,Generic,,,,,2026-06-10
IOC-003341,192.3.136.217,host,192.3.136.217,,malware_download,encrypted;GuLoader;xworm,GuLoader,,,,,2026-06-10
IOC-003342,193.142.146.101,host,193.142.146.101,,malware_download,193-142-146-101;connectwise;exe;ua-wget,ConnectWise,,,,,2026-06-10
IOC-003343,194.87.71.105,host,194.87.71.105,,malware_download,MassLogger;opendir,Generic,,,,,2026-06-10
IOC-003344,196.190.133.180,host,196.190.133.180,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003345,196.191.231.12,host,196.191.231.12,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003346,196.251.107.104,host,196.251.107.104,,malware_download,282234;dropped-by-amadey;Stealc,Stealc,,,,,2026-06-10
IOC-003347,198.12.83.82,host,198.12.83.82,,malware_download,RemcosRAT,RemcosRAT,,,,,2026-06-10
IOC-003348,1yusfrvk.pishbinibet.bet,host,1yusfrvk.pishbinibet.bet,,malware_download,ClearFake,ClearFake,,,,,2026-06-10
IOC-003349,202.107.96.28,host,202.107.96.28,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003350,2026ruproishestviyi.vercel.app,host,2026ruproishestviyi.vercel.app,,malware_download,apk ;mamont,Generic,,,,,2026-06-10
IOC-003351,203.159.90.82,host,203.159.90.82,,malware_download,203-159-90-82;connectwise;exe;ua-wget,ConnectWise,,,,,2026-06-10
IOC-003352,203.99.178.233,host,203.99.178.233,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003353,203.99.183.203,host,203.99.183.203,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003354,204.76.203.54,host,204.76.203.54,,malware_download,204-76-203-54;elf;ua-wget,Generic,,,,,2026-06-10
IOC-003355,208.85.20.124,host,208.85.20.124,,malware_download,opendir;WsgiDAV,Generic,,,,,2026-06-10
IOC-003356,219.154.175.241,host,219.154.175.241,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003357,219.155.201.90,host,219.155.201.90,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003358,219.155.86.35,host,219.155.86.35,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003359,219.157.176.118,host,219.157.176.118,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003360,219.157.188.115,host,219.157.188.115,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003361,219.157.191.201,host,219.157.191.201,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003362,220.202.65.213,host,220.202.65.213,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003363,221.14.39.40,host,221.14.39.40,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003364,221.14.40.6,host,221.14.40.6,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003365,221.15.11.196,host,221.15.11.196,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003366,221.15.7.179,host,221.15.7.179,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003367,221.15.95.197,host,221.15.95.197,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003368,222.133.65.107,host,222.133.65.107,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003369,222.136.116.154,host,222.136.116.154,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003370,222.137.167.35,host,222.137.167.35,,malware_download,Mozi,Mozi,,,,,2026-06-11
IOC-003371,222.139.42.172,host,222.139.42.172,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003372,222.139.69.47,host,222.139.69.47,,malware_download,,Generic,,,,,2026-06-10
IOC-003373,222.139.90.218,host,222.139.90.218,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003374,222.140.182.126,host,222.140.182.126,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003375,222.141.76.123,host,222.141.76.123,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003376,222.142.243.66,host,222.142.243.66,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003377,27.203.55.110,host,27.203.55.110,,malware_download,mirai,Mirai,,,,,2026-06-10
IOC-003378,27.207.34.27,host,27.207.34.27,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003379,27.215.121.47,host,27.215.121.47,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003380,2nyrkdw3.ayinzendegi.xyz,host,2nyrkdw3.ayinzendegi.xyz,,malware_download,ClearFake,ClearFake,,,,,2026-06-10
IOC-003381,39.81.217.45,host,39.81.217.45,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003382,39.90.148.225,host,39.90.148.225,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003383,3sdhx6qp.pokerbazi.app,host,3sdhx6qp.pokerbazi.app,,malware_download,ClearFake,ClearFake,,,,,2026-06-10
IOC-003384,3yl7mt55.andisheeslami2.xyz,host,3yl7mt55.andisheeslami2.xyz,,malware_download,ClearFake,ClearFake,,,,,2026-06-10
IOC-003385,42.224.55.83,host,42.224.55.83,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003386,42.224.74.34,host,42.224.74.34,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003387,42.226.215.4,host,42.226.215.4,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003388,42.227.247.188,host,42.227.247.188,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003389,42.229.216.91,host,42.229.216.91,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003390,42.231.41.181,host,42.231.41.181,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003391,42.232.238.150,host,42.232.238.150,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003392,42.233.106.90,host,42.233.106.90,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003393,42.234.118.12,host,42.234.118.12,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003394,42.238.169.120,host,42.238.169.120,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003395,42.238.77.75,host,42.238.77.75,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003396,42.52.39.77,host,42.52.39.77,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003397,42.53.227.140,host,42.53.227.140,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003398,42.85.162.174,host,42.85.162.174,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003399,45.129.231.1,host,45.129.231.1,,malware_download,45-129-231-1;connectwise;exe;ua-wget,ConnectWise,,,,,2026-06-10
IOC-003400,45.154.98.128,host,45.154.98.128,,malware_download,45-154-98-128;elf;gafgyt;ua-wget,Gafgyt,,,,,2026-06-10
IOC-003401,45.156.87.136,host,45.156.87.136,,malware_download,45-156-87-136;connectwise;exe;ua-wget,ConnectWise,,,,,2026-06-10
IOC-003402,45.156.87.82,host,45.156.87.82,,malware_download,45-156-87-82;elf;mirai;ua-wget,Mirai,,,,,2026-06-10
IOC-003403,45.205.1.59,host,45.205.1.59,,malware_download,elf;ua-wget,Generic,,,,,2026-06-10
IOC-003404,45.94.31.83,host,45.94.31.83,,malware_download,45-94-31-83;java;ua-wget,Generic,,,,,2026-06-10
IOC-003405,46.236.65.142,host,46.236.65.142,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003406,46.236.65.80,host,46.236.65.80,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003407,47.239.166.93,host,47.239.166.93,,malware_download,,Generic,,,,,2026-06-10
IOC-003408,5.175.217.137,host,5.175.217.137,,malware_download,mirai;opendir,Mirai,,,,,2026-06-10
IOC-003409,5.175.249.53,host,5.175.249.53,,malware_download,elf;ua-wget,Generic,,,,,2026-06-10
IOC-003410,58.255.42.68,host,58.255.42.68,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003411,59.101.188.13,host,59.101.188.13,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003412,59.96.143.76,host,59.96.143.76,,malware_download,Mozi,Mozi,,,,,2026-06-11
IOC-003413,5ronk1lr.pointsbetiran.com,host,5ronk1lr.pointsbetiran.com,,malware_download,ClearFake,ClearFake,,,,,2026-06-10
IOC-003414,5wtpqrho.azmoondadrasi.xyz,host,5wtpqrho.azmoondadrasi.xyz,,malware_download,ClearFake,ClearFake,,,,,2026-06-10
IOC-003415,60.182.226.145,host,60.182.226.145,,malware_download,32-bit;arm;elf;mirai;Mozi,Mirai,,,,,2026-06-10
IOC-003416,60.19.220.86,host,60.19.220.86,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003417,60.23.232.177,host,60.23.232.177,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003418,61.52.186.135,host,61.52.186.135,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003419,61.53.254.129,host,61.53.254.129,,malware_download,Mozi,Mozi,,,,,2026-06-10
IOC-003420,61.53.74.178,host,61.53.74.178,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003421,61.53.74.248,host,61.53.74.248,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003422,61.53.75.175,host,61.53.75.175,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-10
IOC-003423,61.53.80.201,host,61.53.80.201,,malware_download,32-bit;elf;mips;Mozi,Mozi,,,,,2026-06-11
IOC-003424,62.60.226.140,host,62.60.226.140,,malware_download,d52f85;dropped-by-amadey,Generic,,,,,2026-06-10
