score_id,account_id,score_date,risk_score,risk_band,model_version,top_signal
SCR-0000070,ACC-001038,2026-05-05,56,medium,risk-model-v3.3,data_staging
SCR-0000071,ACC-000789,2026-06-01,55,medium,risk-model-v3.3,data_staging
SCR-0000072,ACC-000789,2026-05-30,48,medium,risk-model-v3.3,data_staging
SCR-0000073,ACC-000789,2026-05-28,52,medium,risk-model-v3.4,data_staging
SCR-0000074,ACC-000789,2026-05-26,43,medium,risk-model-v3.3,data_staging
SCR-0000075,ACC-000789,2026-05-24,47,medium,risk-model-v3.3,data_staging
SCR-0000076,ACC-000789,2026-05-22,50,medium,risk-model-v3.4,data_staging
SCR-0000077,ACC-000789,2026-05-20,57,medium,risk-model-v3.4,data_staging
SCR-0000078,ACC-000789,2026-05-18,57,medium,risk-model-v3.2,data_staging
SCR-0000079,ACC-000789,2026-05-16,56,medium,risk-model-v3.3,data_staging
SCR-0000080,ACC-000789,2026-05-14,55,medium,risk-model-v3.2,data_staging
SCR-0000081,ACC-000789,2026-05-12,43,medium,risk-model-v3.2,data_staging
SCR-0000082,ACC-000789,2026-05-10,45,medium,risk-model-v3.3,data_staging
SCR-0000083,ACC-000789,2026-05-08,46,medium,risk-model-v3.4,data_staging
SCR-0000084,ACC-000789,2026-05-06,54,medium,risk-model-v3.2,data_staging
SCR-0000085,ACC-000789,2026-05-04,57,medium,risk-model-v3.2,data_staging
SCR-0000086,ACC-001857,2026-06-01,76,high,risk-model-v3.3,anomalous_share_external
SCR-0000087,ACC-001857,2026-05-31,75,high,risk-model-v3.4,anomalous_share_external
SCR-0000088,ACC-001857,2026-05-30,80,high,risk-model-v3.4,anomalous_share_external
SCR-0000089,ACC-001857,2026-05-29,69,medium,risk-model-v3.2,anomalous_share_external
SCR-0000090,ACC-001857,2026-05-28,72,high,risk-model-v3.2,anomalous_share_external
SCR-0000091,ACC-001857,2026-05-27,78,high,risk-model-v3.2,anomalous_share_external
SCR-0000092,ACC-001857,2026-05-26,73,high,risk-model-v3.2,anomalous_share_external
SCR-0000093,ACC-001857,2026-05-25,70,high,risk-model-v3.2,anomalous_share_external
SCR-0000094,ACC-001857,2026-05-24,69,medium,risk-model-v3.4,anomalous_share_external
SCR-0000095,ACC-001857,2026-05-23,73,high,risk-model-v3.3,anomalous_share_external
SCR-0000096,ACC-001857,2026-05-22,75,high,risk-model-v3.4,anomalous_share_external
SCR-0000097,ACC-001857,2026-05-21,68,medium,risk-model-v3.2,anomalous_share_external
SCR-0000098,ACC-001857,2026-05-20,73,high,risk-model-v3.4,anomalous_share_external
SCR-0000099,ACC-001857,2026-05-19,76,high,risk-model-v3.2,anomalous_share_external
SCR-0000100,ACC-001857,2026-05-18,64,medium,risk-model-v3.4,anomalous_share_external
SCR-0000101,ACC-001857,2026-05-17,75,high,risk-model-v3.4,anomalous_share_external
SCR-0000102,ACC-001857,2026-05-16,68,medium,risk-model-v3.3,anomalous_share_external
SCR-0000103,ACC-001857,2026-05-15,67,medium,risk-model-v3.4,anomalous_share_external
SCR-0000104,ACC-001857,2026-05-14,64,medium,risk-model-v3.4,anomalous_share_external
SCR-0000105,ACC-001857,2026-05-13,71,high,risk-model-v3.2,anomalous_share_external
SCR-0000106,ACC-001857,2026-05-12,70,high,risk-model-v3.2,anomalous_share_external
SCR-0000107,ACC-001857,2026-05-11,64,medium,risk-model-v3.3,anomalous_share_external
SCR-0000108,ACC-001857,2026-05-10,78,high,risk-model-v3.2,anomalous_share_external
SCR-0000109,ACC-001857,2026-05-09,80,high,risk-model-v3.4,anomalous_share_external
SCR-0000110,ACC-001857,2026-05-08,70,high,risk-model-v3.4,anomalous_share_external
SCR-0000111,ACC-001857,2026-05-07,72,high,risk-model-v3.3,anomalous_share_external
SCR-0000112,ACC-001857,2026-05-06,71,high,risk-model-v3.3,anomalous_share_external
SCR-0000113,ACC-001857,2026-05-05,70,high,risk-model-v3.2,anomalous_share_external
SCR-0000114,ACC-001857,2026-05-04,78,high,risk-model-v3.3,anomalous_share_external
SCR-0000115,ACC-001857,2026-05-03,76,high,risk-model-v3.2,anomalous_share_external
SCR-0000116,ACC-001945,2026-06-01,25,low,risk-model-v3.4,bulk_account_creation
SCR-0000117,ACC-001945,2026-05-30,16,low,risk-model-v3.4,bulk_account_creation
SCR-0000118,ACC-001945,2026-05-28,27,low,risk-model-v3.4,bulk_account_creation
SCR-0000119,ACC-001945,2026-05-26,22,low,risk-model-v3.2,bulk_account_creation
SCR-0000120,ACC-001945,2026-05-24,28,low,risk-model-v3.2,bulk_account_creation
SCR-0000121,ACC-001945,2026-05-22,27,low,risk-model-v3.2,bulk_account_creation
SCR-0000122,ACC-001945,2026-05-20,14,low,risk-model-v3.4,bulk_account_creation
SCR-0000123,ACC-001945,2026-05-18,29,low,risk-model-v3.4,bulk_account_creation
SCR-0000124,ACC-001945,2026-05-16,20,low,risk-model-v3.3,bulk_account_creation
SCR-0000125,ACC-001945,2026-05-14,18,low,risk-model-v3.3,bulk_account_creation
SCR-0000126,ACC-001945,2026-05-12,30,low,risk-model-v3.3,bulk_account_creation
SCR-0000127,ACC-001945,2026-05-10,22,low,risk-model-v3.3,bulk_account_creation
SCR-0000128,ACC-001945,2026-05-08,30,low,risk-model-v3.4,bulk_account_creation
SCR-0000129,ACC-001945,2026-05-06,17,low,risk-model-v3.3,bulk_account_creation
SCR-0000130,ACC-001945,2026-05-04,24,low,risk-model-v3.3,bulk_account_creation
SCR-0000131,ACC-000889,2026-06-01,59,medium,risk-model-v3.3,impossible_travel
SCR-0000132,ACC-000889,2026-05-31,59,medium,risk-model-v3.2,impossible_travel
SCR-0000133,ACC-000889,2026-05-30,71,high,risk-model-v3.2,impossible_travel
SCR-0000134,ACC-000889,2026-05-29,61,medium,risk-model-v3.4,impossible_travel
SCR-0000135,ACC-000889,2026-05-28,70,high,risk-model-v3.4,impossible_travel
SCR-0000136,ACC-000889,2026-05-27,71,high,risk-model-v3.2,impossible_travel
SCR-0000137,ACC-000889,2026-05-26,58,medium,risk-model-v3.3,impossible_travel
SCR-0000138,ACC-000889,2026-05-25,58,medium,risk-model-v3.4,impossible_travel
SCR-0000139,ACC-000889,2026-05-24,68,medium,risk-model-v3.2,impossible_travel
SCR-0000140,ACC-000889,2026-05-23,72,high,risk-model-v3.2,impossible_travel
SCR-0000141,ACC-000889,2026-05-22,66,medium,risk-model-v3.2,impossible_travel
SCR-0000142,ACC-000889,2026-05-21,66,medium,risk-model-v3.4,impossible_travel
SCR-0000143,ACC-000889,2026-05-20,69,medium,risk-model-v3.4,impossible_travel
SCR-0000144,ACC-000889,2026-05-19,66,medium,risk-model-v3.2,impossible_travel
SCR-0000145,ACC-000889,2026-05-18,68,medium,risk-model-v3.4,impossible_travel
SCR-0000146,ACC-000889,2026-05-17,65,medium,risk-model-v3.3,impossible_travel
SCR-0000147,ACC-000889,2026-05-16,65,medium,risk-model-v3.4,impossible_travel
SCR-0000148,ACC-000889,2026-05-15,70,high,risk-model-v3.2,impossible_travel
SCR-0000149,ACC-000889,2026-05-14,66,medium,risk-model-v3.2,impossible_travel
SCR-0000150,ACC-000889,2026-05-13,64,medium,risk-model-v3.3,impossible_travel
SCR-0000151,ACC-000889,2026-05-12,67,medium,risk-model-v3.2,impossible_travel
SCR-0000152,ACC-000889,2026-05-11,66,medium,risk-model-v3.2,impossible_travel
SCR-0000153,ACC-000889,2026-05-10,72,high,risk-model-v3.4,impossible_travel
SCR-0000154,ACC-000889,2026-05-09,66,medium,risk-model-v3.3,impossible_travel
SCR-0000155,ACC-000889,2026-05-08,61,medium,risk-model-v3.2,impossible_travel
SCR-0000156,ACC-000889,2026-05-07,68,medium,risk-model-v3.2,impossible_travel
SCR-0000157,ACC-000889,2026-05-06,72,high,risk-model-v3.4,impossible_travel
SCR-0000158,ACC-000889,2026-05-05,72,high,risk-model-v3.4,impossible_travel
SCR-0000159,ACC-000889,2026-05-04,70,high,risk-model-v3.2,impossible_travel
SCR-0000160,ACC-000889,2026-05-03,68,medium,risk-model-v3.2,impossible_travel
SCR-0000161,ACC-000325,2026-06-01,82,high,risk-model-v3.2,off_hours_admin
SCR-0000162,ACC-000325,2026-05-30,80,high,risk-model-v3.3,off_hours_admin
SCR-0000163,ACC-000325,2026-05-28,83,high,risk-model-v3.2,off_hours_admin
SCR-0000164,ACC-000325,2026-05-26,84,high,risk-model-v3.2,off_hours_admin
SCR-0000165,ACC-000325,2026-05-24,74,high,risk-model-v3.2,off_hours_admin
SCR-0000166,ACC-000325,2026-05-22,80,high,risk-model-v3.3,off_hours_admin
SCR-0000167,ACC-000325,2026-05-20,78,high,risk-model-v3.3,off_hours_admin
SCR-0000168,ACC-000325,2026-05-18,82,high,risk-model-v3.2,off_hours_admin
SCR-0000169,ACC-000325,2026-05-16,73,high,risk-model-v3.2,off_hours_admin
SCR-0000170,ACC-000325,2026-05-14,72,high,risk-model-v3.3,off_hours_admin
SCR-0000171,ACC-000325,2026-05-12,73,high,risk-model-v3.3,off_hours_admin
SCR-0000172,ACC-000325,2026-05-10,76,high,risk-model-v3.2,off_hours_admin
SCR-0000173,ACC-000325,2026-05-08,84,high,risk-model-v3.3,off_hours_admin
SCR-0000174,ACC-000325,2026-05-06,79,high,risk-model-v3.4,off_hours_admin
SCR-0000175,ACC-000325,2026-05-04,79,high,risk-model-v3.4,off_hours_admin
SCR-0000176,ACC-000299,2026-06-01,41,medium,risk-model-v3.2,data_staging
SCR-0000177,ACC-000299,2026-05-29,43,medium,risk-model-v3.4,data_staging
SCR-0000178,ACC-000299,2026-05-26,31,low,risk-model-v3.3,data_staging
SCR-0000179,ACC-000299,2026-05-23,33,low,risk-model-v3.2,data_staging
SCR-0000180,ACC-000299,2026-05-20,35,low,risk-model-v3.3,data_staging
SCR-0000181,ACC-000299,2026-05-17,35,low,risk-model-v3.2,data_staging
SCR-0000182,ACC-000299,2026-05-14,33,low,risk-model-v3.2,data_staging
SCR-0000183,ACC-000299,2026-05-11,45,medium,risk-model-v3.2,data_staging
SCR-0000184,ACC-000299,2026-05-08,40,medium,risk-model-v3.2,data_staging
SCR-0000185,ACC-000299,2026-05-05,40,medium,risk-model-v3.4,data_staging
SCR-0000186,ACC-001963,2026-06-01,43,medium,risk-model-v3.4,credential_stuffing
SCR-0000187,ACC-001963,2026-05-29,55,medium,risk-model-v3.3,credential_stuffing
SCR-0000188,ACC-001963,2026-05-26,50,medium,risk-model-v3.4,credential_stuffing
SCR-0000189,ACC-001963,2026-05-23,48,medium,risk-model-v3.4,credential_stuffing
SCR-0000190,ACC-001963,2026-05-20,48,medium,risk-model-v3.4,credential_stuffing
SCR-0000191,ACC-001963,2026-05-17,48,medium,risk-model-v3.4,credential_stuffing
SCR-0000192,ACC-001963,2026-05-14,53,medium,risk-model-v3.2,credential_stuffing
SCR-0000193,ACC-001963,2026-05-11,41,medium,risk-model-v3.4,credential_stuffing
SCR-0000194,ACC-001963,2026-05-08,40,medium,risk-model-v3.4,credential_stuffing
SCR-0000195,ACC-001963,2026-05-05,47,medium,risk-model-v3.2,credential_stuffing
SCR-0000196,ACC-000753,2026-06-01,73,high,risk-model-v3.2,suspicious_oauth_grant
SCR-0000197,ACC-000753,2026-05-30,75,high,risk-model-v3.3,suspicious_oauth_grant
SCR-0000198,ACC-000753,2026-05-28,75,high,risk-model-v3.2,suspicious_oauth_grant
SCR-0000199,ACC-000753,2026-05-26,84,high,risk-model-v3.4,suspicious_oauth_grant
SCR-0000200,ACC-000753,2026-05-24,82,high,risk-model-v3.4,suspicious_oauth_grant
SCR-0000201,ACC-000753,2026-05-22,71,high,risk-model-v3.2,suspicious_oauth_grant
SCR-0000202,ACC-000753,2026-05-20,76,high,risk-model-v3.3,suspicious_oauth_grant
SCR-0000203,ACC-000753,2026-05-18,76,high,risk-model-v3.2,suspicious_oauth_grant
SCR-0000204,ACC-000753,2026-05-16,77,high,risk-model-v3.4,suspicious_oauth_grant
SCR-0000205,ACC-000753,2026-05-14,74,high,risk-model-v3.2,suspicious_oauth_grant
SCR-0000206,ACC-000753,2026-05-12,71,high,risk-model-v3.4,suspicious_oauth_grant
SCR-0000207,ACC-000753,2026-05-10,78,high,risk-model-v3.3,suspicious_oauth_grant
SCR-0000208,ACC-000753,2026-05-08,74,high,risk-model-v3.4,suspicious_oauth_grant
SCR-0000209,ACC-000753,2026-05-06,76,high,risk-model-v3.2,suspicious_oauth_grant
SCR-0000210,ACC-000753,2026-05-04,84,high,risk-model-v3.2,suspicious_oauth_grant
SCR-0000211,ACC-001389,2026-06-01,34,low,risk-model-v3.3,mfa_fatigue
SCR-0000212,ACC-001389,2026-05-31,44,medium,risk-model-v3.3,mfa_fatigue
SCR-0000213,ACC-001389,2026-05-30,39,low,risk-model-v3.2,mfa_fatigue
SCR-0000214,ACC-001389,2026-05-29,39,low,risk-model-v3.2,mfa_fatigue
SCR-0000215,ACC-001389,2026-05-28,41,medium,risk-model-v3.3,mfa_fatigue
SCR-0000216,ACC-001389,2026-05-27,36,low,risk-model-v3.3,mfa_fatigue
SCR-0000217,ACC-001389,2026-05-26,45,medium,risk-model-v3.2,mfa_fatigue
SCR-0000218,ACC-001389,2026-05-25,48,medium,risk-model-v3.4,mfa_fatigue
SCR-0000219,ACC-001389,2026-05-24,43,medium,risk-model-v3.4,mfa_fatigue
SCR-0000220,ACC-001389,2026-05-23,36,low,risk-model-v3.2,mfa_fatigue
SCR-0000221,ACC-001389,2026-05-22,33,low,risk-model-v3.2,mfa_fatigue
SCR-0000222,ACC-001389,2026-05-21,32,low,risk-model-v3.2,mfa_fatigue
SCR-0000223,ACC-001389,2026-05-20,32,low,risk-model-v3.4,mfa_fatigue
SCR-0000224,ACC-001389,2026-05-19,34,low,risk-model-v3.2,mfa_fatigue
SCR-0000225,ACC-001389,2026-05-18,37,low,risk-model-v3.3,mfa_fatigue
SCR-0000226,ACC-001389,2026-05-17,39,low,risk-model-v3.4,mfa_fatigue
SCR-0000227,ACC-001389,2026-05-16,33,low,risk-model-v3.2,mfa_fatigue
SCR-0000228,ACC-001389,2026-05-15,35,low,risk-model-v3.4,mfa_fatigue
SCR-0000229,ACC-001389,2026-05-14,40,medium,risk-model-v3.4,mfa_fatigue
SCR-0000230,ACC-001389,2026-05-13,38,low,risk-model-v3.4,mfa_fatigue
SCR-0000231,ACC-001389,2026-05-12,48,medium,risk-model-v3.2,mfa_fatigue
SCR-0000232,ACC-001389,2026-05-11,34,low,risk-model-v3.4,mfa_fatigue
SCR-0000233,ACC-001389,2026-05-10,33,low,risk-model-v3.3,mfa_fatigue
SCR-0000234,ACC-001389,2026-05-09,34,low,risk-model-v3.4,mfa_fatigue
SCR-0000235,ACC-001389,2026-05-08,46,medium,risk-model-v3.2,mfa_fatigue
SCR-0000236,ACC-001389,2026-05-07,47,medium,risk-model-v3.4,mfa_fatigue
SCR-0000237,ACC-001389,2026-05-06,44,medium,risk-model-v3.2,mfa_fatigue
SCR-0000238,ACC-001389,2026-05-05,35,low,risk-model-v3.4,mfa_fatigue
SCR-0000239,ACC-001389,2026-05-04,40,medium,risk-model-v3.3,mfa_fatigue
SCR-0000240,ACC-001389,2026-05-03,37,low,risk-model-v3.3,mfa_fatigue
SCR-0000241,ACC-001518,2026-06-01,35,low,risk-model-v3.2,impossible_travel
SCR-0000242,ACC-001518,2026-05-31,34,low,risk-model-v3.2,impossible_travel
SCR-0000243,ACC-001518,2026-05-30,33,low,risk-model-v3.2,impossible_travel
SCR-0000244,ACC-001518,2026-05-29,32,low,risk-model-v3.2,impossible_travel
SCR-0000245,ACC-001518,2026-05-28,42,medium,risk-model-v3.2,impossible_travel
SCR-0000246,ACC-001518,2026-05-27,46,medium,risk-model-v3.2,impossible_travel
SCR-0000247,ACC-001518,2026-05-26,35,low,risk-model-v3.2,impossible_travel
SCR-0000248,ACC-001518,2026-05-25,36,low,risk-model-v3.2,impossible_travel
SCR-0000249,ACC-001518,2026-05-24,32,low,risk-model-v3.4,impossible_travel
SCR-0000250,ACC-001518,2026-05-23,34,low,risk-model-v3.2,impossible_travel
SCR-0000251,ACC-001518,2026-05-22,40,medium,risk-model-v3.2,impossible_travel
SCR-0000252,ACC-001518,2026-05-21,32,low,risk-model-v3.3,impossible_travel
SCR-0000253,ACC-001518,2026-05-20,37,low,risk-model-v3.4,impossible_travel
SCR-0000254,ACC-001518,2026-05-19,36,low,risk-model-v3.4,impossible_travel
SCR-0000255,ACC-001518,2026-05-18,34,low,risk-model-v3.3,impossible_travel
SCR-0000256,ACC-001518,2026-05-17,45,medium,risk-model-v3.3,impossible_travel
SCR-0000257,ACC-001518,2026-05-16,46,medium,risk-model-v3.2,impossible_travel
SCR-0000258,ACC-001518,2026-05-15,40,medium,risk-model-v3.3,impossible_travel
SCR-0000259,ACC-001518,2026-05-14,39,low,risk-model-v3.4,impossible_travel
SCR-0000260,ACC-001518,2026-05-13,35,low,risk-model-v3.2,impossible_travel
SCR-0000261,ACC-001518,2026-05-12,34,low,risk-model-v3.4,impossible_travel
SCR-0000262,ACC-001518,2026-05-11,37,low,risk-model-v3.4,impossible_travel
SCR-0000263,ACC-001518,2026-05-10,42,medium,risk-model-v3.2,impossible_travel
SCR-0000264,ACC-001518,2026-05-09,30,low,risk-model-v3.3,impossible_travel
SCR-0000265,ACC-001518,2026-05-08,36,low,risk-model-v3.2,impossible_travel
SCR-0000266,ACC-001518,2026-05-07,41,medium,risk-model-v3.4,impossible_travel
SCR-0000267,ACC-001518,2026-05-06,34,low,risk-model-v3.4,impossible_travel
SCR-0000268,ACC-001518,2026-05-05,31,low,risk-model-v3.3,impossible_travel
SCR-0000269,ACC-001518,2026-05-04,42,medium,risk-model-v3.3,impossible_travel
SCR-0000270,ACC-001518,2026-05-03,32,low,risk-model-v3.2,impossible_travel
SCR-0000271,ACC-000656,2026-06-01,62,medium,risk-model-v3.2,data_staging
SCR-0000272,ACC-000656,2026-05-29,61,medium,risk-model-v3.4,data_staging
SCR-0000273,ACC-000656,2026-05-26,69,medium,risk-model-v3.4,data_staging
SCR-0000274,ACC-000656,2026-05-23,62,medium,risk-model-v3.2,data_staging
SCR-0000275,ACC-000656,2026-05-20,59,medium,risk-model-v3.3,data_staging
SCR-0000276,ACC-000656,2026-05-17,69,medium,risk-model-v3.2,data_staging
SCR-0000277,ACC-000656,2026-05-14,68,medium,risk-model-v3.4,data_staging
SCR-0000278,ACC-000656,2026-05-11,66,medium,risk-model-v3.3,data_staging
SCR-0000279,ACC-000656,2026-05-08,60,medium,risk-model-v3.2,data_staging
SCR-0000280,ACC-000656,2026-05-05,70,high,risk-model-v3.2,data_staging
SCR-0000281,ACC-000610,2026-06-01,65,medium,risk-model-v3.4,suspicious_oauth_grant
SCR-0000282,ACC-000610,2026-05-29,71,high,risk-model-v3.3,suspicious_oauth_grant
SCR-0000283,ACC-000610,2026-05-26,63,medium,risk-model-v3.2,suspicious_oauth_grant
SCR-0000284,ACC-000610,2026-05-23,68,medium,risk-model-v3.3,suspicious_oauth_grant
SCR-0000285,ACC-000610,2026-05-20,60,medium,risk-model-v3.3,suspicious_oauth_grant
SCR-0000286,ACC-000610,2026-05-17,66,medium,risk-model-v3.4,suspicious_oauth_grant
SCR-0000287,ACC-000610,2026-05-14,61,medium,risk-model-v3.4,suspicious_oauth_grant
SCR-0000288,ACC-000610,2026-05-11,70,high,risk-model-v3.3,suspicious_oauth_grant
SCR-0000289,ACC-000610,2026-05-08,68,medium,risk-model-v3.3,suspicious_oauth_grant
SCR-0000290,ACC-000610,2026-05-05,73,high,risk-model-v3.3,suspicious_oauth_grant
SCR-0000291,ACC-000244,2026-06-01,55,medium,risk-model-v3.3,new_device_burst
SCR-0000292,ACC-000244,2026-05-29,59,medium,risk-model-v3.4,new_device_burst
SCR-0000293,ACC-000244,2026-05-26,59,medium,risk-model-v3.3,new_device_burst
SCR-0000294,ACC-000244,2026-05-23,57,medium,risk-model-v3.2,new_device_burst
SCR-0000295,ACC-000244,2026-05-20,47,medium,risk-model-v3.2,new_device_burst
SCR-0000296,ACC-000244,2026-05-17,51,medium,risk-model-v3.3,new_device_burst
SCR-0000297,ACC-000244,2026-05-14,55,medium,risk-model-v3.4,new_device_burst
SCR-0000298,ACC-000244,2026-05-11,63,medium,risk-model-v3.4,new_device_burst
SCR-0000299,ACC-000244,2026-05-08,55,medium,risk-model-v3.2,new_device_burst
SCR-0000300,ACC-000244,2026-05-05,48,medium,risk-model-v3.2,new_device_burst
SCR-0000301,ACC-001186,2026-06-01,65,medium,risk-model-v3.3,impossible_travel
SCR-0000302,ACC-001186,2026-05-29,54,medium,risk-model-v3.4,impossible_travel
SCR-0000303,ACC-001186,2026-05-26,57,medium,risk-model-v3.4,impossible_travel
SCR-0000304,ACC-001186,2026-05-23,53,medium,risk-model-v3.2,impossible_travel
SCR-0000305,ACC-001186,2026-05-20,66,medium,risk-model-v3.2,impossible_travel
SCR-0000306,ACC-001186,2026-05-17,55,medium,risk-model-v3.3,impossible_travel
SCR-0000307,ACC-001186,2026-05-14,55,medium,risk-model-v3.2,impossible_travel
SCR-0000308,ACC-001186,2026-05-11,55,medium,risk-model-v3.4,impossible_travel
SCR-0000309,ACC-001186,2026-05-08,65,medium,risk-model-v3.4,impossible_travel
SCR-0000310,ACC-001186,2026-05-05,63,medium,risk-model-v3.2,impossible_travel
SCR-0000311,ACC-001351,2026-06-01,49,medium,risk-model-v3.2,geo_velocity
SCR-0000312,ACC-001351,2026-05-30,48,medium,risk-model-v3.4,geo_velocity
SCR-0000313,ACC-001351,2026-05-28,56,medium,risk-model-v3.4,geo_velocity
SCR-0000314,ACC-001351,2026-05-26,50,medium,risk-model-v3.3,geo_velocity
SCR-0000315,ACC-001351,2026-05-24,44,medium,risk-model-v3.2,geo_velocity
SCR-0000316,ACC-001351,2026-05-22,45,medium,risk-model-v3.4,geo_velocity
