signal_id,account_id,signal_type,signal_value,weight,observed_at
SIG-0000033,ACC-001945,off_hours_admin,0.444,1.28,2026-03-27 12:18:05
SIG-0000034,ACC-001945,suspicious_oauth_grant,0.198,3.87,2026-04-01 08:10:56
SIG-0000035,ACC-001945,bulk_account_creation,0.4,2.96,2026-04-26 16:32:15
SIG-0000036,ACC-001945,bulk_account_creation,0.845,3.31,2026-05-24 23:31:04
SIG-0000037,ACC-001945,mfa_fatigue,0.202,1.36,2026-03-15 05:02:55
SIG-0000038,ACC-000889,geo_velocity,0.942,1.19,2026-03-20 23:17:26
SIG-0000039,ACC-000889,suspicious_oauth_grant,0.148,3.04,2026-05-08 19:59:56
SIG-0000040,ACC-000889,anomalous_share_external,0.256,2.39,2026-05-17 05:46:49
SIG-0000041,ACC-000889,impossible_travel,0.778,4.85,2026-05-15 05:21:20
SIG-0000042,ACC-000889,api_token_abuse,0.749,2.22,2026-05-19 08:33:08
SIG-0000043,ACC-000889,mfa_fatigue,0.783,1.24,2026-03-12 08:42:14
SIG-0000044,ACC-000325,off_hours_admin,0.953,1.81,2026-04-23 09:23:22
SIG-0000045,ACC-000299,anomalous_share_external,0.199,4.13,2026-04-12 13:15:19
SIG-0000046,ACC-000299,data_staging,0.335,4.15,2026-04-22 12:55:52
SIG-0000047,ACC-000299,suspicious_oauth_grant,0.49,4.91,2026-05-13 03:11:46
SIG-0000048,ACC-000299,bulk_account_creation,0.788,4.96,2026-04-28 09:11:45
SIG-0000049,ACC-000299,bulk_account_creation,0.981,4.49,2026-04-02 20:34:02
SIG-0000050,ACC-000299,impossible_travel,0.922,1.13,2026-05-08 19:03:06
SIG-0000051,ACC-001963,new_device_burst,0.15,4.33,2026-04-23 10:28:13
SIG-0000052,ACC-001963,impossible_travel,0.874,2.22,2026-04-04 22:59:29
SIG-0000053,ACC-001963,new_device_burst,0.95,2.41,2026-03-11 10:58:20
SIG-0000054,ACC-001963,geo_velocity,0.351,1.8,2026-05-26 10:40:50
SIG-0000055,ACC-001963,anomalous_share_external,0.32,1.2,2026-05-27 02:57:33
SIG-0000056,ACC-001963,api_token_abuse,0.5,3.73,2026-04-20 00:44:01
SIG-0000057,ACC-001963,anomalous_share_external,0.743,2.14,2026-04-11 03:36:08
SIG-0000058,ACC-001963,mass_file_download,0.248,3.39,2026-03-24 15:48:37
SIG-0000059,ACC-001963,credential_stuffing,0.276,1.09,2026-05-05 20:04:57
SIG-0000060,ACC-000753,suspicious_oauth_grant,0.679,3.71,2026-05-15 07:47:08
SIG-0000061,ACC-000753,impossible_travel,0.961,3.14,2026-03-30 13:35:27
SIG-0000062,ACC-000753,impossible_travel,0.822,2.94,2026-03-03 02:54:15
SIG-0000063,ACC-000753,anomalous_share_external,0.269,3.98,2026-05-27 23:05:38
SIG-0000064,ACC-000753,bulk_account_creation,0.855,4.43,2026-05-27 01:57:30
SIG-0000065,ACC-000753,off_hours_admin,0.895,4.54,2026-05-27 21:19:18
SIG-0000066,ACC-001389,mfa_fatigue,0.576,4.02,2026-03-12 08:15:02
SIG-0000067,ACC-001389,impossible_travel,0.317,4.66,2026-05-17 14:56:02
SIG-0000068,ACC-001518,impossible_travel,0.854,2.06,2026-03-03 08:21:02
SIG-0000069,ACC-001518,new_device_burst,0.617,3.55,2026-03-22 15:42:53
SIG-0000070,ACC-000656,data_staging,0.827,3.3,2026-04-09 18:48:50
SIG-0000071,ACC-000656,data_staging,0.676,4.37,2026-04-29 20:16:36
SIG-0000072,ACC-000656,new_device_burst,0.879,3.45,2026-05-03 20:59:13
SIG-0000073,ACC-000656,impossible_travel,0.604,4.7,2026-03-07 22:09:56
SIG-0000074,ACC-000656,bulk_account_creation,0.489,4.17,2026-03-20 13:08:04
SIG-0000075,ACC-000656,data_staging,0.859,3.63,2026-05-24 13:55:49
SIG-0000076,ACC-000610,anomalous_share_external,0.94,0.56,2026-05-04 10:26:38
SIG-0000077,ACC-000610,geo_velocity,0.513,1.03,2026-05-18 13:34:44
SIG-0000078,ACC-000610,impossible_travel,0.103,0.87,2026-04-16 15:33:00
SIG-0000079,ACC-000610,mfa_fatigue,0.711,4.2,2026-03-31 15:44:02
SIG-0000080,ACC-000610,suspicious_oauth_grant,0.629,4.98,2026-03-09 19:54:35
SIG-0000081,ACC-000244,data_staging,0.859,1.64,2026-04-22 11:29:38
SIG-0000082,ACC-000244,data_staging,0.294,1.08,2026-05-04 13:04:57
SIG-0000083,ACC-000244,suspicious_oauth_grant,0.43,4.29,2026-05-31 22:30:01
SIG-0000084,ACC-000244,malware_callback,0.475,4.33,2026-03-16 16:02:51
SIG-0000085,ACC-000244,mass_file_download,0.245,4.4,2026-04-08 18:48:03
SIG-0000086,ACC-000244,new_device_burst,0.988,1.16,2026-05-31 01:10:41
SIG-0000087,ACC-001186,impossible_travel,0.934,2.55,2026-05-25 11:30:06
SIG-0000088,ACC-001186,bulk_account_creation,0.995,3.77,2026-03-25 14:49:53
SIG-0000089,ACC-001186,geo_velocity,0.576,3.01,2026-04-17 17:33:51
SIG-0000090,ACC-001186,suspicious_oauth_grant,0.144,4.52,2026-03-31 20:01:49
SIG-0000091,ACC-001186,new_device_burst,0.327,1.53,2026-05-26 02:47:39
SIG-0000092,ACC-001351,off_hours_admin,0.267,4.65,2026-03-15 14:32:43
SIG-0000093,ACC-001351,mfa_fatigue,0.278,0.97,2026-04-05 23:36:42
SIG-0000094,ACC-001351,data_staging,0.654,0.81,2026-05-26 14:44:39
SIG-0000095,ACC-001351,geo_velocity,0.88,4.67,2026-04-25 19:27:57
SIG-0000096,ACC-001351,suspicious_oauth_grant,0.665,0.54,2026-05-13 16:53:25
SIG-0000097,ACC-001351,api_token_abuse,0.212,4.04,2026-03-11 19:39:29
SIG-0000098,ACC-001351,off_hours_admin,0.611,2.26,2026-04-13 12:11:39
SIG-0000099,ACC-001351,mfa_fatigue,0.643,0.79,2026-03-27 12:49:55
SIG-0000100,ACC-000063,credential_stuffing,0.648,1.26,2026-05-04 01:20:31
SIG-0000101,ACC-000063,mfa_fatigue,0.507,0.7,2026-03-14 09:39:40
SIG-0000102,ACC-000063,impossible_travel,0.913,1.45,2026-03-29 10:24:16
SIG-0000103,ACC-000063,off_hours_admin,0.292,3.17,2026-04-11 12:01:57
SIG-0000104,ACC-000063,geo_velocity,0.545,0.81,2026-05-29 18:46:05
SIG-0000105,ACC-000063,api_token_abuse,0.701,1.3,2026-04-21 21:20:30
SIG-0000106,ACC-000576,mass_file_download,0.491,2.79,2026-05-14 12:09:14
SIG-0000107,ACC-000576,off_hours_admin,0.471,0.8,2026-03-24 11:51:34
SIG-0000108,ACC-000576,mfa_fatigue,0.843,4.15,2026-04-05 23:49:43
SIG-0000109,ACC-000576,anomalous_share_external,0.409,3.58,2026-03-10 19:23:24
SIG-0000110,ACC-000576,malware_callback,0.423,1.81,2026-04-01 10:44:27
SIG-0000111,ACC-000890,new_device_burst,0.558,3.68,2026-03-24 21:27:41
SIG-0000112,ACC-000890,malware_callback,0.575,2.45,2026-03-27 17:06:51
SIG-0000113,ACC-000890,off_hours_admin,0.226,4.1,2026-03-17 03:21:30
SIG-0000114,ACC-000890,new_device_burst,0.371,1.22,2026-05-03 22:32:16
SIG-0000115,ACC-000115,api_token_abuse,0.164,2.91,2026-04-04 15:50:29
SIG-0000116,ACC-000115,impossible_travel,0.25,3.58,2026-05-15 10:30:32
SIG-0000117,ACC-000115,suspicious_oauth_grant,0.743,1.6,2026-03-14 18:21:20
SIG-0000118,ACC-000115,new_device_burst,0.845,3.27,2026-05-24 23:19:17
SIG-0000119,ACC-000115,suspicious_oauth_grant,0.589,1.95,2026-03-05 11:38:46
SIG-0000120,ACC-000115,mass_file_download,0.937,2.01,2026-05-04 21:15:04
SIG-0000121,ACC-001997,impossible_travel,0.751,4.45,2026-03-26 01:59:15
SIG-0000122,ACC-001997,mass_file_download,0.535,3.95,2026-03-19 02:10:46
SIG-0000123,ACC-001997,credential_stuffing,0.115,4.85,2026-04-12 03:30:48
SIG-0000124,ACC-001997,off_hours_admin,0.414,1.73,2026-05-17 02:08:19
SIG-0000125,ACC-001997,data_staging,0.908,4.2,2026-04-07 14:43:13
SIG-0000126,ACC-001632,credential_stuffing,0.285,3.4,2026-04-15 16:30:32
SIG-0000127,ACC-001632,anomalous_share_external,0.151,2.95,2026-04-19 19:43:37
SIG-0000128,ACC-001632,bulk_account_creation,0.216,1.3,2026-03-20 22:40:42
SIG-0000129,ACC-001632,credential_stuffing,0.604,3.33,2026-04-04 05:00:04
SIG-0000130,ACC-001632,mfa_fatigue,0.141,3.14,2026-03-27 01:09:54
SIG-0000131,ACC-001632,suspicious_oauth_grant,0.175,1.77,2026-05-07 00:51:13
SIG-0000132,ACC-001632,bulk_account_creation,0.49,3.9,2026-04-09 13:29:15
SIG-0000133,ACC-001632,api_token_abuse,0.398,4.38,2026-04-06 15:49:18
SIG-0000134,ACC-000459,new_device_burst,0.246,1.68,2026-04-17 21:47:15
SIG-0000135,ACC-000940,credential_stuffing,0.987,1.96,2026-04-07 05:35:13
SIG-0000136,ACC-000940,geo_velocity,0.56,4.63,2026-05-06 08:57:58
SIG-0000137,ACC-001611,new_device_burst,0.701,0.97,2026-04-14 20:44:02
SIG-0000138,ACC-001611,malware_callback,0.601,4.55,2026-05-28 05:30:46
SIG-0000139,ACC-001611,impossible_travel,0.927,0.85,2026-05-07 08:50:40
SIG-0000140,ACC-001611,new_device_burst,0.476,4.43,2026-04-02 19:41:39
SIG-0000141,ACC-001611,off_hours_admin,0.241,3.77,2026-05-15 14:42:22
SIG-0000142,ACC-001611,geo_velocity,0.933,1.74,2026-04-28 17:22:27
SIG-0000143,ACC-001611,api_token_abuse,0.154,3.56,2026-04-09 04:30:03
SIG-0000144,ACC-000113,mfa_fatigue,0.575,4.25,2026-04-16 22:47:54
SIG-0000145,ACC-001594,malware_callback,0.128,3.91,2026-05-12 11:12:42
SIG-0000146,ACC-001594,api_token_abuse,0.641,4.35,2026-05-28 23:12:32
SIG-0000147,ACC-001594,impossible_travel,0.942,3.3,2026-05-12 17:26:23
SIG-0000148,ACC-001594,off_hours_admin,0.199,2.41,2026-03-17 04:14:06
SIG-0000149,ACC-001594,impossible_travel,0.627,2.26,2026-05-05 12:54:41
SIG-0000150,ACC-001594,credential_stuffing,0.427,4.07,2026-04-01 20:18:50
SIG-0000151,ACC-001594,credential_stuffing,0.801,1.55,2026-05-22 07:48:22
SIG-0000152,ACC-001594,anomalous_share_external,0.482,4.2,2026-04-30 12:53:47
SIG-0000153,ACC-001594,geo_velocity,0.311,2.74,2026-03-06 00:51:31
SIG-0000154,ACC-000583,data_staging,0.117,1.2,2026-04-21 19:19:39
SIG-0000155,ACC-000583,mfa_fatigue,0.815,0.61,2026-03-14 10:11:59
SIG-0000156,ACC-000583,geo_velocity,0.525,4.08,2026-03-07 09:15:16
SIG-0000157,ACC-000583,anomalous_share_external,0.266,4.51,2026-04-02 13:04:10
SIG-0000158,ACC-000583,anomalous_share_external,0.413,4.06,2026-03-18 23:57:16
SIG-0000159,ACC-001516,suspicious_oauth_grant,0.674,2.13,2026-03-28 21:30:11
SIG-0000160,ACC-001516,bulk_account_creation,0.89,4.35,2026-03-17 10:32:27
SIG-0000161,ACC-001464,anomalous_share_external,0.348,1.28,2026-03-19 00:08:15
SIG-0000162,ACC-001723,credential_stuffing,0.517,0.71,2026-04-26 19:54:22
SIG-0000163,ACC-001723,malware_callback,0.593,0.69,2026-05-31 01:40:08
SIG-0000164,ACC-001723,new_device_burst,0.733,2.84,2026-03-04 10:06:38
SIG-0000165,ACC-000093,impossible_travel,0.813,0.59,2026-03-15 00:32:53
SIG-0000166,ACC-000093,malware_callback,0.244,1.08,2026-04-14 14:46:42
SIG-0000167,ACC-001532,geo_velocity,0.719,4.16,2026-03-28 14:27:00
SIG-0000168,ACC-001532,bulk_account_creation,0.285,1.78,2026-05-31 14:30:32
SIG-0000169,ACC-001532,credential_stuffing,0.482,2.97,2026-03-22 17:29:55
SIG-0000170,ACC-001532,suspicious_oauth_grant,0.424,4.52,2026-03-22 10:44:47
SIG-0000171,ACC-001047,api_token_abuse,0.487,3.54,2026-04-17 10:31:13
SIG-0000172,ACC-001047,impossible_travel,0.773,1.94,2026-05-19 15:47:34
SIG-0000173,ACC-001047,geo_velocity,0.935,2.23,2026-04-15 16:10:26
SIG-0000174,ACC-001047,anomalous_share_external,0.952,0.73,2026-05-28 02:44:48
SIG-0000175,ACC-001047,off_hours_admin,0.553,1.9,2026-03-28 15:43:11
SIG-0000176,ACC-000740,bulk_account_creation,0.386,4.23,2026-04-19 09:52:18
SIG-0000177,ACC-000740,api_token_abuse,0.92,4.58,2026-03-23 09:04:00
SIG-0000178,ACC-000740,impossible_travel,0.721,2.75,2026-03-04 22:36:19
SIG-0000179,ACC-000740,off_hours_admin,0.29,1.96,2026-03-29 16:19:48
SIG-0000180,ACC-000740,mass_file_download,0.537,1.58,2026-03-10 18:17:47
SIG-0000181,ACC-000740,bulk_account_creation,0.324,3.76,2026-04-06 08:54:19
SIG-0000182,ACC-000740,bulk_account_creation,0.631,1.56,2026-04-25 14:20:09
SIG-0000183,ACC-000740,bulk_account_creation,0.757,1.65,2026-03-06 22:35:53
SIG-0000184,ACC-001962,api_token_abuse,0.959,2.8,2026-04-27 08:51:25
SIG-0000185,ACC-001962,impossible_travel,0.741,4.2,2026-03-17 15:02:18
SIG-0000186,ACC-001962,new_device_burst,0.709,1.58,2026-03-21 09:00:12
SIG-0000187,ACC-001962,off_hours_admin,0.13,3.76,2026-05-24 10:05:40
SIG-0000188,ACC-000200,mfa_fatigue,0.877,1.99,2026-03-07 22:23:19
SIG-0000189,ACC-000200,geo_velocity,0.213,2.58,2026-03-25 01:49:24
SIG-0000190,ACC-000200,anomalous_share_external,0.397,2.95,2026-05-20 18:33:13
SIG-0000191,ACC-000200,data_staging,0.484,2.78,2026-05-02 00:18:08
SIG-0000192,ACC-000200,new_device_burst,0.61,4.0,2026-04-17 03:50:09
SIG-0000193,ACC-001715,malware_callback,0.904,4.24,2026-03-15 06:57:00
SIG-0000194,ACC-001715,bulk_account_creation,0.626,2.68,2026-03-03 22:26:35
SIG-0000195,ACC-001715,mfa_fatigue,0.107,1.77,2026-04-15 06:57:34
SIG-0000196,ACC-001715,suspicious_oauth_grant,0.271,4.58,2026-05-18 10:20:29
SIG-0000197,ACC-001715,impossible_travel,0.613,2.29,2026-05-03 15:11:59
SIG-0000198,ACC-001715,mfa_fatigue,0.857,1.07,2026-04-27 12:51:38
SIG-0000199,ACC-001468,impossible_travel,0.177,3.52,2026-03-23 14:19:02
SIG-0000200,ACC-001468,anomalous_share_external,0.24,2.76,2026-03-26 03:02:20
SIG-0000201,ACC-001468,anomalous_share_external,0.341,4.36,2026-05-31 18:20:49
SIG-0000202,ACC-001558,geo_velocity,0.529,0.55,2026-05-23 07:26:11
SIG-0000203,ACC-001558,suspicious_oauth_grant,0.411,3.96,2026-03-30 14:27:27
SIG-0000204,ACC-001558,suspicious_oauth_grant,0.288,3.0,2026-04-10 05:54:47
SIG-0000205,ACC-001558,bulk_account_creation,0.63,3.19,2026-03-12 09:56:14
SIG-0000206,ACC-001688,mass_file_download,0.875,3.87,2026-04-02 23:40:15
SIG-0000207,ACC-001688,anomalous_share_external,0.302,0.56,2026-03-20 22:47:03
SIG-0000208,ACC-001688,mass_file_download,0.123,2.68,2026-04-01 23:14:47
SIG-0000209,ACC-001688,anomalous_share_external,0.44,4.96,2026-05-02 16:19:05
SIG-0000210,ACC-001688,new_device_burst,0.148,4.34,2026-05-14 08:33:11
SIG-0000211,ACC-001688,mass_file_download,0.256,2.85,2026-03-24 04:23:01
SIG-0000212,ACC-001929,data_staging,0.746,4.38,2026-03-29 13:13:48
SIG-0000213,ACC-001929,new_device_burst,0.792,3.59,2026-04-27 07:00:47
SIG-0000214,ACC-001929,anomalous_share_external,0.774,1.51,2026-04-12 10:30:32
SIG-0000215,ACC-001929,geo_velocity,0.169,1.23,2026-03-11 18:43:27
SIG-0000216,ACC-001929,bulk_account_creation,0.688,3.61,2026-03-07 05:52:06
SIG-0000217,ACC-001094,suspicious_oauth_grant,0.535,2.33,2026-03-08 23:13:59
SIG-0000218,ACC-001094,suspicious_oauth_grant,0.951,1.5,2026-03-16 01:32:10
SIG-0000219,ACC-001094,credential_stuffing,0.848,0.89,2026-04-25 08:38:11
SIG-0000220,ACC-001094,bulk_account_creation,0.453,1.63,2026-04-18 07:28:16
SIG-0000221,ACC-001094,mass_file_download,0.103,0.93,2026-05-08 08:40:34
SIG-0000222,ACC-001094,anomalous_share_external,0.415,3.08,2026-03-15 19:14:44
SIG-0000223,ACC-001094,new_device_burst,0.227,4.35,2026-05-21 21:29:25
SIG-0000224,ACC-001094,off_hours_admin,0.823,4.02,2026-05-06 03:11:47
SIG-0000225,ACC-000414,credential_stuffing,0.101,0.68,2026-05-08 11:42:38
SIG-0000226,ACC-000414,malware_callback,0.834,1.03,2026-04-04 13:02:58
SIG-0000227,ACC-000414,data_staging,0.836,1.62,2026-05-01 08:56:42
SIG-0000228,ACC-000414,credential_stuffing,0.739,4.62,2026-05-28 17:42:33
SIG-0000229,ACC-000414,suspicious_oauth_grant,0.793,2.01,2026-05-18 18:44:24
SIG-0000230,ACC-000414,mass_file_download,0.817,1.08,2026-03-24 02:47:12
SIG-0000231,ACC-000414,mass_file_download,0.347,4.72,2026-03-19 21:51:59
SIG-0000232,ACC-000414,impossible_travel,0.454,2.15,2026-04-23 08:34:01
SIG-0000233,ACC-001833,off_hours_admin,0.906,4.32,2026-03-06 00:59:41
SIG-0000234,ACC-001833,off_hours_admin,0.762,3.51,2026-05-10 04:02:50
SIG-0000235,ACC-001833,bulk_account_creation,0.102,1.81,2026-05-20 05:31:31
SIG-0000236,ACC-001833,impossible_travel,0.408,4.32,2026-04-19 23:12:24
SIG-0000237,ACC-001833,impossible_travel,0.903,2.66,2026-03-10 20:41:18
SIG-0000238,ACC-001833,off_hours_admin,0.165,4.71,2026-05-05 21:55:43
SIG-0000239,ACC-001833,credential_stuffing,0.784,3.02,2026-05-19 18:01:30
SIG-0000240,ACC-001833,geo_velocity,0.716,2.99,2026-05-06 07:55:50
SIG-0000241,ACC-001833,bulk_account_creation,0.765,4.66,2026-04-26 08:34:26
SIG-0000242,ACC-000264,impossible_travel,0.951,2.47,2026-04-24 13:35:22
SIG-0000243,ACC-000264,anomalous_share_external,0.885,1.2,2026-03-03 02:19:46
SIG-0000244,ACC-000264,credential_stuffing,0.968,0.65,2026-05-06 22:50:25
SIG-0000245,ACC-000264,bulk_account_creation,0.261,4.32,2026-04-06 03:16:37
SIG-0000246,ACC-000264,malware_callback,0.946,4.69,2026-05-29 18:47:24
SIG-0000247,ACC-000264,credential_stuffing,0.152,3.9,2026-03-09 15:23:45
SIG-0000248,ACC-000264,anomalous_share_external,0.247,4.21,2026-03-23 23:53:51
SIG-0000249,ACC-000264,off_hours_admin,0.822,2.16,2026-05-01 16:53:49
SIG-0000250,ACC-000481,geo_velocity,0.612,2.07,2026-04-09 21:07:08
SIG-0000251,ACC-000481,off_hours_admin,0.942,1.4,2026-03-08 09:20:16
SIG-0000252,ACC-000481,geo_velocity,0.44,1.02,2026-05-04 02:17:22
SIG-0000253,ACC-000481,bulk_account_creation,0.951,3.87,2026-04-16 07:03:06
SIG-0000254,ACC-000481,impossible_travel,0.373,0.99,2026-05-01 04:35:17
SIG-0000255,ACC-001711,malware_callback,0.593,0.65,2026-03-03 13:26:47
SIG-0000256,ACC-001711,mass_file_download,0.628,3.84,2026-05-12 07:55:37
SIG-0000257,ACC-001711,bulk_account_creation,0.511,2.35,2026-05-22 20:22:31
SIG-0000258,ACC-001711,credential_stuffing,0.927,3.74,2026-03-05 15:51:24
SIG-0000259,ACC-001711,geo_velocity,0.805,3.15,2026-03-14 09:50:06
SIG-0000260,ACC-001711,credential_stuffing,0.123,1.96,2026-05-04 21:35:16
SIG-0000261,ACC-001711,off_hours_admin,0.274,1.72,2026-05-27 06:43:12
SIG-0000262,ACC-001711,mass_file_download,0.644,2.13,2026-04-23 20:15:39
SIG-0000263,ACC-001785,data_staging,0.922,3.73,2026-03-29 11:26:52
SIG-0000264,ACC-000922,anomalous_share_external,0.249,3.4,2026-05-06 11:34:59
SIG-0000265,ACC-000922,credential_stuffing,0.293,2.53,2026-05-31 20:17:16
SIG-0000266,ACC-000922,off_hours_admin,0.141,4.0,2026-04-16 15:39:13
SIG-0000267,ACC-000922,mfa_fatigue,0.963,3.55,2026-03-04 20:12:23
SIG-0000268,ACC-000922,impossible_travel,0.386,1.65,2026-04-03 04:20:26
SIG-0000269,ACC-000922,geo_velocity,0.16,2.91,2026-03-20 15:33:45
SIG-0000270,ACC-000922,mfa_fatigue,0.843,4.94,2026-03-19 21:39:43
SIG-0000271,ACC-000594,credential_stuffing,0.737,1.49,2026-04-10 06:36:21
SIG-0000272,ACC-000594,anomalous_share_external,0.723,0.77,2026-03-21 04:32:55
SIG-0000273,ACC-000594,mass_file_download,0.67,4.85,2026-04-03 15:17:52
SIG-0000274,ACC-000594,new_device_burst,0.417,3.84,2026-03-16 17:33:44
SIG-0000275,ACC-000594,anomalous_share_external,0.714,3.0,2026-05-01 06:21:24
SIG-0000276,ACC-000594,anomalous_share_external,0.43,3.28,2026-04-25 13:21:22
SIG-0000277,ACC-000484,suspicious_oauth_grant,0.953,4.06,2026-05-27 00:56:57
SIG-0000278,ACC-000484,mfa_fatigue,0.41,2.99,2026-03-15 01:23:48
SIG-0000279,ACC-000484,new_device_burst,0.496,4.53,2026-04-01 16:20:00
SIG-0000280,ACC-000484,credential_stuffing,0.686,1.05,2026-04-26 22:13:27
SIG-0000281,ACC-000484,malware_callback,0.971,2.39,2026-04-08 21:07:37
SIG-0000282,ACC-000484,credential_stuffing,0.822,2.81,2026-04-20 14:47:19
SIG-0000283,ACC-000484,off_hours_admin,0.115,3.65,2026-03-28 11:51:06
SIG-0000284,ACC-000484,impossible_travel,0.802,3.75,2026-05-08 07:03:15
SIG-0000285,ACC-000760,mass_file_download,0.324,0.76,2026-04-05 10:26:58
SIG-0000286,ACC-000760,mass_file_download,0.585,3.79,2026-04-18 23:30:59
SIG-0000287,ACC-001832,new_device_burst,0.446,3.46,2026-03-26 00:05:50
SIG-0000288,ACC-001832,anomalous_share_external,0.124,3.17,2026-03-09 21:57:52
SIG-0000289,ACC-001832,suspicious_oauth_grant,0.935,0.85,2026-04-05 04:21:48
SIG-0000290,ACC-001832,bulk_account_creation,0.712,1.71,2026-05-14 08:11:44
SIG-0000291,ACC-001832,new_device_burst,0.954,4.62,2026-03-24 23:53:16
SIG-0000292,ACC-001832,impossible_travel,0.345,0.96,2026-03-06 05:11:33
SIG-0000293,ACC-001832,mass_file_download,0.226,2.17,2026-03-18 21:28:01
SIG-0000294,ACC-001832,malware_callback,0.418,4.37,2026-03-22 14:09:33
SIG-0000295,ACC-001832,off_hours_admin,0.149,4.79,2026-03-03 17:55:33
SIG-0000296,ACC-000054,off_hours_admin,0.233,3.66,2026-03-14 20:04:18
SIG-0000297,ACC-000054,malware_callback,0.439,4.93,2026-05-09 08:19:10
SIG-0000298,ACC-000054,impossible_travel,0.866,4.26,2026-03-31 09:53:05
SIG-0000299,ACC-000054,anomalous_share_external,0.569,2.77,2026-03-27 05:48:06
SIG-0000300,ACC-000054,new_device_burst,0.807,3.96,2026-03-07 20:42:31
SIG-0000301,ACC-000615,anomalous_share_external,0.25,4.18,2026-05-18 18:03:36
SIG-0000302,ACC-000615,data_staging,0.985,3.25,2026-05-03 08:57:18
SIG-0000303,ACC-000615,geo_velocity,0.781,4.33,2026-03-21 14:07:17
SIG-0000304,ACC-000080,suspicious_oauth_grant,0.822,3.97,2026-04-25 12:29:37
SIG-0000305,ACC-001537,geo_velocity,0.402,1.6,2026-03-26 03:40:43
SIG-0000306,ACC-001537,new_device_burst,0.315,1.83,2026-03-16 10:14:59
SIG-0000307,ACC-001537,anomalous_share_external,0.377,2.08,2026-05-11 17:38:37
SIG-0000308,ACC-001537,anomalous_share_external,0.13,4.93,2026-05-22 17:41:29
SIG-0000309,ACC-001537,mfa_fatigue,0.781,2.7,2026-05-12 12:15:18
SIG-0000310,ACC-001537,impossible_travel,0.689,4.73,2026-05-05 02:45:03
SIG-0000311,ACC-001537,geo_velocity,0.779,0.81,2026-03-03 07:19:34
SIG-0000312,ACC-001537,data_staging,0.157,1.14,2026-04-17 16:28:33
SIG-0000313,ACC-001159,malware_callback,0.194,3.89,2026-05-29 07:05:56
SIG-0000314,ACC-001159,geo_velocity,0.984,0.61,2026-05-16 17:20:20
SIG-0000315,ACC-001159,geo_velocity,0.962,3.63,2026-04-24 10:33:07
SIG-0000316,ACC-001159,credential_stuffing,0.892,2.54,2026-04-19 19:19:20
SIG-0000317,ACC-001159,bulk_account_creation,0.47,3.44,2026-05-25 10:25:34
